,BALY US Equity,BALY US Equity,BALY US Equity,BALY US Equity,BALY US Equity
2020-05-15,15.21,16.0,14.88,15.45,592114.0
2020-05-16,15.21,16.0,14.88,15.45,592114.0
2020-05-17,15.21,16.0,14.88,15.45,592114.0
2020-05-18,16.25,17.25,16.23,17.0,371016.0
2020-05-19,16.87,18.4,16.87,17.58,389688.0
2020-05-20,18.19,19.26,18.19,18.55,420776.0
2020-05-21,18.72,19.6,18.64,18.79,149582.0
2020-05-22,19.07,19.3599,18.6029,19.1,230009.0
2020-05-23,19.07,19.3599,18.6029,19.1,230009.0
2020-05-24,19.07,19.3599,18.6029,19.1,230009.0
2020-05-25,19.07,19.3599,18.6029,19.1,230009.0
2020-05-26,19.86,20.59,19.83,20.03,358405.0
2020-05-27,20.63,21.4,20.3801,21.04,419792.0
2020-05-28,21.45,21.92,20.53,20.67,473160.0
2020-05-29,20.98,21.63,20.64,20.91,269296.0
2020-05-30,20.98,21.63,20.64,20.91,269296.0
2020-05-31,20.98,21.63,20.64,20.91,269296.0
2020-06-01,21.04,22.18,20.9101,21.79,638397.0
2020-06-02,22.09,22.38,21.66,22.01,180084.0
2020-06-03,22.68,23.19,22.52,22.79,235684.0
2020-06-04,22.55,23.06,22.39,22.74,408346.0
2020-06-05,24.34,25.14,23.65,23.88,404341.0
2020-06-06,24.34,25.14,23.65,23.88,404341.0
2020-06-07,24.34,25.14,23.65,23.88,404341.0
2020-06-08,25.2,27.59,24.75,24.79,455345.0
2020-06-09,23.82,24.42,22.86,24.02,225216.0
2020-06-10,23.8,24.15,22.82,23.83,662878.0
2020-06-11,22.4,22.95,21.57,21.69,314679.0
2020-06-12,22.86,23.49,21.595,22.31,201504.0
2020-06-13,22.86,23.49,21.595,22.31,201504.0
2020-06-14,22.86,23.49,21.595,22.31,201504.0
2020-06-15,21.32,23.14,20.94,22.55,273950.0
2020-06-16,23.85,23.85,22.88,23.35,229185.0
2020-06-17,23.34,24.16,22.98,23.86,241044.0
2020-06-18,23.54,24.3,23.33,23.45,140271.0
2020-06-19,23.94,24.11,22.73,23.12,213895.0
2020-06-20,23.94,24.11,22.73,23.12,213895.0
2020-06-21,23.94,24.11,22.73,23.12,213895.0
2020-06-22,22.79,23.67,22.1324,23.31,262979.0
2020-06-23,23.68,24.2,23.27,23.77,129073.0
2020-06-24,23.2,23.4,21.54,21.55,165218.0
2020-06-25,21.09,22.55,20.81,21.51,173145.0
2020-06-26,21.38,21.56,20.57,20.88,327891.0
2020-06-27,21.38,21.56,20.57,20.88,327891.0
2020-06-28,21.38,21.56,20.57,20.88,327891.0
2020-06-29,21.16,21.96,20.53,21.78,139219.0
2020-06-30,21.44,22.32,21.1,22.29,187105.0
2020-07-01,22.37,22.9,21.82,22.19,95903.0
2020-07-02,23.11,23.29,22.045,22.15,99844.0
2020-07-03,23.11,23.29,22.045,22.15,99844.0
2020-07-04,23.11,23.29,22.045,22.15,99844.0
2020-07-05,23.11,23.29,22.045,22.15,99844.0
2020-07-06,22.9,22.9,21.72,22.03,117437.0
2020-07-07,21.66,21.845,20.52,20.65,198462.0
2020-07-08,20.67,20.97,19.65,20.58,189977.0
2020-07-09,20.4,20.4,19.51,20.0,141527.0
2020-07-10,19.93,20.31,19.87,20.1,85101.0
2020-07-11,19.93,20.31,19.87,20.1,85101.0
2020-07-12,19.93,20.31,19.87,20.1,85101.0
2020-07-13,20.4,20.94,19.78,19.93,119048.0
2020-07-14,19.99,20.455,19.5,20.04,116320.0
2020-07-15,20.77,22.78,20.77,22.3,261604.0
2020-07-16,22.1,22.1,21.395,21.85,70706.0
2020-07-17,21.74,21.99,21.04,21.2,87996.0
2020-07-18,21.74,21.99,21.04,21.2,87996.0
2020-07-19,21.74,21.99,21.04,21.2,87996.0
2020-07-20,20.96,21.14,20.13,20.5,65122.0
2020-07-21,20.91,21.52,20.75,21.38,105156.0
2020-07-22,21.36,22.09,21.36,21.46,107952.0
2020-07-23,21.41,21.5975,20.8,20.93,91695.0
2020-07-24,20.96,21.19,20.53,21.04,74896.0
2020-07-25,20.96,21.19,20.53,21.04,74896.0
2020-07-26,20.96,21.19,20.53,21.04,74896.0
2020-07-27,20.99,21.085,20.56,20.56,200913.0
2020-07-28,20.52,20.95,20.52,20.7,129150.0
2020-07-29,21.04,23.835,20.95,23.17,594984.0
2020-07-30,23.34,23.68,22.7,23.16,181658.0
2020-07-31,23.25,23.25,21.36,21.56,138195.0
2020-08-01,23.25,23.25,21.36,21.56,138195.0
2020-08-02,23.25,23.25,21.36,21.56,138195.0
2020-08-03,22.0,22.35,21.4,21.99,137383.0
2020-08-04,22.04,22.8,21.91,22.6,229618.0
2020-08-05,22.9,23.19,22.035,22.99,159617.0
2020-08-06,22.79,23.95,22.79,23.45,268699.0
2020-08-07,23.35,24.85,23.35,23.82,240314.0
2020-08-08,23.35,24.85,23.35,23.82,240314.0
2020-08-09,23.35,24.85,23.35,23.82,240314.0
2020-08-10,24.28,24.97,24.12,24.26,249491.0
2020-08-11,26.0,26.46,24.925,25.3,210858.0
2020-08-12,26.52,26.52,24.65,25.01,128373.0
2020-08-13,24.92,26.6,24.565,25.83,291951.0
2020-08-14,25.65,25.86,25.19,25.58,155622.0
2020-08-15,25.65,25.86,25.19,25.58,155622.0
2020-08-16,25.65,25.86,25.19,25.58,155622.0
2020-08-17,25.5,26.02,25.19,25.7,100856.0
2020-08-18,25.62,26.22,25.285,25.89,268229.0
2020-08-19,26.32,27.57,26.01,26.91,808282.0
2020-08-20,26.09,26.655,25.2201,25.62,166867.0
2020-08-21,25.42,25.81,24.66,24.83,105154.0
2020-08-22,25.42,25.81,24.66,24.83,105154.0
2020-08-23,25.42,25.81,24.66,24.83,105154.0
2020-08-24,25.0,25.33,24.385,24.71,134196.0
2020-08-25,24.85,25.03,24.45,24.79,54578.0
2020-08-26,24.8,25.01,24.48,24.85,57880.0
2020-08-27,25.1,25.8,25.09,25.29,142479.0
2020-08-28,25.58,25.895,25.29,25.85,127179.0
2020-08-29,25.58,25.895,25.29,25.85,127179.0
2020-08-30,25.58,25.895,25.29,25.85,127179.0
2020-08-31,25.59,25.85,23.67,23.93,163137.0
2020-09-01,23.64,24.5,23.49,24.4,78511.0
2020-09-02,24.35,24.78,23.9,24.65,175646.0
2020-09-03,24.76,25.09,22.38,22.6,239262.0
2020-09-04,23.12,23.275,21.66,22.32,83816.0
2020-09-05,23.12,23.275,21.66,22.32,83816.0
2020-09-06,23.12,23.275,21.66,22.32,83816.0
2020-09-07,23.12,23.275,21.66,22.32,83816.0
2020-09-08,22.0,22.41,21.6,22.3,170841.0
2020-09-09,22.66,23.43,22.17,23.05,282382.0
2020-09-10,22.96,24.2,22.96,23.41,247542.0
2020-09-11,23.66,23.86,22.09,22.94,118957.0
2020-09-12,23.66,23.86,22.09,22.94,118957.0
2020-09-13,23.66,23.86,22.09,22.94,118957.0
2020-09-14,23.31,24.38,23.3,23.98,176879.0
2020-09-15,24.36,24.9502,23.78,24.37,114163.0
2020-09-16,24.74,24.74,23.88,23.9,79601.0
2020-09-17,23.18,23.64,22.82,23.57,92178.0
2020-09-18,23.81,24.03,22.4,22.64,431609.0
2020-09-19,23.81,24.03,22.4,22.64,431609.0
2020-09-20,23.81,24.03,22.4,22.64,431609.0
2020-09-21,21.84,22.81,21.5,22.74,145318.0
2020-09-22,22.95,24.08,22.95,23.9,130023.0
2020-09-23,24.01,24.1,23.09,23.36,149673.0
2020-09-24,23.42,24.07,22.79,23.84,142118.0
2020-09-25,23.82,25.68,23.79,25.34,139835.0
2020-09-26,23.82,25.68,23.79,25.34,139835.0
2020-09-27,23.82,25.68,23.79,25.34,139835.0
2020-09-28,25.93,25.93,25.42,25.75,156124.0
2020-09-29,25.65,25.75,25.03,25.61,166651.0
2020-09-30,25.84,26.96,25.84,26.27,298269.0
2020-10-01,26.61,27.38,25.93,26.85,149822.0
2020-10-02,26.12,28.05,25.64,27.52,126260.0
2020-10-03,26.12,28.05,25.64,27.52,126260.0
2020-10-04,26.12,28.05,25.64,27.52,126260.0
2020-10-05,27.76,27.76,26.3001,26.73,89698.0
2020-10-06,27.03,27.03,25.39,25.48,155901.0
2020-10-07,25.68,26.8799,25.27,25.95,525434.0
2020-10-08,26.6,26.7,25.13,25.39,211919.0
2020-10-09,25.65,25.8136,24.45,24.75,153305.0
2020-10-10,25.65,25.8136,24.45,24.75,153305.0
2020-10-11,25.65,25.8136,24.45,24.75,153305.0
2020-10-12,24.76,24.84,23.37,23.39,204469.0
2020-10-13,23.12,24.72,22.59,24.2,138876.0
2020-10-14,24.18,24.5,23.96,24.05,102327.0
2020-10-15,23.75,24.51,23.5,24.44,100826.0
2020-10-16,24.24,24.5,23.93,24.1,71252.0
2020-10-17,24.24,24.5,23.93,24.1,71252.0
2020-10-18,24.24,24.5,23.93,24.1,71252.0
2020-10-19,24.08,24.31,23.27,23.36,170336.0
2020-10-20,23.62,24.585,23.28,23.65,89282.0
2020-10-21,23.65,23.71,22.39,22.41,159681.0
2020-10-22,22.65,23.92,22.35,23.79,117961.0
2020-10-23,23.98,24.63,23.67,24.59,59851.0
2020-10-24,23.98,24.63,23.67,24.59,59851.0
2020-10-25,23.98,24.63,23.67,24.59,59851.0
2020-10-26,24.11,24.68,23.91,24.64,109583.0
2020-10-27,24.57,24.75,23.82,23.95,173598.0
2020-10-28,23.65,24.42,23.15,23.75,130723.0
2020-10-29,24.46,24.62,22.72,24.34,376862.0
2020-10-30,24.13,24.54,23.46,24.27,222892.0
2020-10-31,24.13,24.54,23.46,24.27,222892.0
2020-11-01,24.13,24.54,23.46,24.27,222892.0
2020-11-02,24.72,25.2,24.5,24.88,268861.0
2020-11-03,25.43,26.17,25.03,25.75,226051.0
2020-11-04,25.56,26.93,25.4,26.5,171648.0
2020-11-05,26.79,28.09,26.79,28.05,137064.0
2020-11-06,28.2,28.2,26.56,27.14,85767.0
2020-11-07,28.2,28.2,26.56,27.14,85767.0
2020-11-08,28.2,28.2,26.56,27.14,85767.0
2020-11-09,29.03,30.27,27.68,27.9,79153.0
2020-11-10,27.9,28.96,27.23,27.93,341436.0
2020-11-11,27.97,28.79,26.9,27.0,82697.0
2020-11-12,26.92,28.5,26.27,28.28,1306322.0
2020-11-13,28.59,29.25,28.4,28.89,115165.0
2020-11-14,28.59,29.25,28.4,28.89,115165.0
2020-11-15,28.59,29.25,28.4,28.89,115165.0
2020-11-16,29.49,30.06,29.28,30.0,110559.0
2020-11-17,30.0,30.9,29.305,30.41,111471.0
2020-11-18,30.49,31.29,30.17,30.61,200948.0
2020-11-19,33.49,38.99,33.49,37.01,1013526.0
2020-11-20,39.5,48.73,38.68,48.4,1577536.0
2020-11-21,39.5,48.73,38.68,48.4,1577536.0
2020-11-22,39.5,48.73,38.68,48.4,1577536.0
2020-11-23,48.52,49.27,44.55,45.54,944768.0
2020-11-24,48.44,49.8,45.8,46.0,768569.0
2020-11-25,47.51,49.45,46.89,47.51,912640.0
2020-11-26,47.51,49.45,46.89,47.51,912640.0
2020-11-27,48.59,48.63,46.14,46.6,214723.0
2020-11-28,48.59,48.63,46.14,46.6,214723.0
2020-11-29,48.59,48.63,46.14,46.6,214723.0
2020-11-30,46.2,46.93,43.85,44.43,363674.0
2020-12-01,44.17,45.66,42.11,44.27,978205.0
2020-12-02,43.61,45.4199,42.15,44.11,623720.0
2020-12-03,44.22,48.27,44.175,44.86,737910.0
2020-12-04,45.2,45.94,43.52,45.71,360309.0
2020-12-05,45.2,45.94,43.52,45.71,360309.0
2020-12-06,45.2,45.94,43.52,45.71,360309.0
2020-12-07,45.48,49.2,44.44,48.5,621001.0
2020-12-08,47.82,49.4799,47.53,48.48,488924.0
2020-12-09,48.25,51.0,48.25,48.76,505324.0
2020-12-10,48.1,48.29,43.005,44.38,638506.0
2020-12-11,44.5,45.63,43.805,44.19,218175.0
2020-12-12,44.5,45.63,43.805,44.19,218175.0
2020-12-13,44.5,45.63,43.805,44.19,218175.0
2020-12-14,44.4,45.28,43.5869,44.02,160196.0
2020-12-15,44.33,47.55,43.76,46.45,225693.0
2020-12-16,46.13,46.95,45.04,46.8,168688.0
2020-12-17,46.45,48.06,45.53,47.75,167488.0
2020-12-18,47.73,48.18,44.58,45.49,460207.0
2020-12-19,47.73,48.18,44.58,45.49,460207.0
2020-12-20,47.73,48.18,44.58,45.49,460207.0
2020-12-21,44.39,46.01,43.54,44.5,248236.0
2020-12-22,44.62,47.985,44.04,47.48,373116.0
2020-12-23,47.39,52.98,47.0,49.14,380803.0
2020-12-24,49.37,50.29,47.2,48.82,126615.0
2020-12-25,49.37,50.29,47.2,48.82,126615.0
2020-12-26,49.37,50.29,47.2,48.82,126615.0
2020-12-27,49.37,50.29,47.2,48.82,126615.0
2020-12-28,49.44,50.5,46.61,46.9,173587.0
2020-12-29,47.28,47.46,44.8419,45.65,139757.0
2020-12-30,46.0,48.92,45.71,48.16,166788.0
2020-12-31,48.3,51.35,47.6,50.23,350530.0
2021-01-01,48.3,51.35,47.6,50.23,350530.0
2021-01-02,48.3,51.35,47.6,50.23,350530.0
2021-01-03,48.3,51.35,47.6,50.23,350530.0
2021-01-04,50.32,51.76,45.55,46.5,389486.0
2021-01-05,46.43,50.0,46.43,48.98,150664.0
2021-01-06,49.43,54.85,48.2,49.63,609343.0
2021-01-07,50.0,50.66,48.12,48.18,198622.0
2021-01-08,48.75,48.83,47.08,47.36,182983.0
2021-01-09,48.75,48.83,47.08,47.36,182983.0
2021-01-10,48.75,48.83,47.08,47.36,182983.0
2021-01-11,46.37,50.29,46.37,49.52,193417.0
2021-01-12,50.6,51.8,49.095,51.51,230770.0
2021-01-13,51.63,52.12,50.4901,51.43,206283.0
2021-01-14,54.09,54.09,50.42,51.62,287266.0
2021-01-15,50.5,52.5,49.68,52.41,334436.0
2021-01-16,50.5,52.5,49.68,52.41,334436.0
2021-01-17,50.5,52.5,49.68,52.41,334436.0
2021-01-18,50.5,52.5,49.68,52.41,334436.0
2021-01-19,52.92,54.4,47.81,48.71,411480.0
2021-01-20,49.0,49.845,47.39,48.57,227886.0
2021-01-21,49.27,50.83,46.8089,50.66,247945.0
2021-01-22,49.46,53.76,49.0,53.26,495804.0
2021-01-23,49.46,53.76,49.0,53.26,495804.0
2021-01-24,49.46,53.76,49.0,53.26,495804.0
2021-01-25,55.49,58.0,53.4,55.5,920148.0
2021-01-26,56.33,59.11,52.32,52.87,767194.0
2021-01-27,51.31,53.8,49.6,51.27,290585.0
2021-01-28,51.87,55.28,51.52,53.72,295220.0
2021-01-29,52.53,55.63,52.25,52.48,344758.0
2021-01-30,52.53,55.63,52.25,52.48,344758.0
2021-01-31,52.53,55.63,52.25,52.48,344758.0
2021-02-01,52.91,54.05,49.78,52.36,316508.0
2021-02-02,53.05,54.58,52.12,54.4,205126.0
2021-02-03,54.86,56.0,54.04,55.52,221360.0
2021-02-04,55.55,57.16,54.53,54.96,202769.0
2021-02-05,55.77,56.58,53.81,54.91,408816.0
2021-02-06,55.77,56.58,53.81,54.91,408816.0
2021-02-07,55.77,56.58,53.81,54.91,408816.0
2021-02-08,55.43,56.84,53.88,56.56,242600.0
2021-02-09,57.36,60.53,56.83,59.8,270386.0
2021-02-10,60.37,61.34,58.8,60.38,254780.0
2021-02-11,60.85,61.32,57.23,57.62,342635.0
2021-02-12,56.9,59.75,56.9,59.61,146654.0
2021-02-13,56.9,59.75,56.9,59.61,146654.0
2021-02-14,56.9,59.75,56.9,59.61,146654.0
2021-02-15,56.9,59.75,56.9,59.61,146654.0
2021-02-16,59.88,62.07,59.185,61.07,242979.0
2021-02-17,60.15,60.665,57.65,60.02,376268.0
2021-02-18,59.4,60.59,58.59,58.79,183181.0
2021-02-19,59.2,60.59,58.2283,60.08,155841.0
2021-02-20,59.2,60.59,58.2283,60.08,155841.0
2021-02-21,59.2,60.59,58.2283,60.08,155841.0
2021-02-22,59.65,62.51,59.65,60.49,378506.0
2021-02-23,59.79,63.165,57.004,62.95,303987.0
2021-02-24,64.49,66.9699,63.12,65.84,538767.0
2021-02-25,65.58,66.5,62.7,63.47,368381.0
2021-02-26,64.0,64.325,58.66,59.52,705637.0
2021-02-27,64.0,64.325,58.66,59.52,705637.0
2021-02-28,64.0,64.325,58.66,59.52,705637.0
2021-03-01,60.51,64.96,60.51,64.42,392433.0
2021-03-02,64.5,64.91,61.52,62.75,1247485.0
2021-03-03,63.92,64.705,60.35,60.61,468108.0
2021-03-04,58.54,61.4065,47.66,52.3,1015731.0
2021-03-05,57.35,60.71,52.0,59.57,1001213.0
2021-03-06,57.35,60.71,52.0,59.57,1001213.0
2021-03-07,57.35,60.71,52.0,59.57,1001213.0
2021-03-08,59.53,65.1609,59.53,64.64,571549.0
2021-03-09,66.19,67.33,63.0,63.61,380315.0
2021-03-10,63.31,69.57,63.31,69.13,343482.0
2021-03-11,70.58,73.52,68.77,72.7,325857.0
2021-03-12,71.77,73.26,70.63,71.58,179622.0
2021-03-13,71.77,73.26,70.63,71.58,179622.0
2021-03-14,71.77,73.26,70.63,71.58,179622.0
2021-03-15,71.35,74.72,71.35,72.61,279652.0
2021-03-16,72.51,72.66,67.63,69.38,289647.0
2021-03-17,69.5,72.25,68.2001,72.12,218699.0
2021-03-18,71.31,71.62,66.56,67.34,180332.0
2021-03-19,67.58,69.1221,65.48,68.7,285389.0
2021-03-20,67.58,69.1221,65.48,68.7,285389.0
2021-03-21,67.58,69.1221,65.48,68.7,285389.0
2021-03-22,69.73,69.81,66.92,68.97,159408.0
2021-03-23,67.98,68.59,64.58,66.34,228760.0
2021-03-24,69.0,72.88,67.46,68.06,1040663.0
2021-03-25,66.63,74.89,64.92,73.63,801307.0
2021-03-26,74.0,75.92,68.14,69.85,540731.0
2021-03-27,74.0,75.92,68.14,69.85,540731.0
2021-03-28,74.0,75.92,68.14,69.85,540731.0
2021-03-29,68.59,70.5499,63.15,63.74,367197.0
2021-03-30,63.66,67.6,63.475,66.07,364193.0
2021-03-31,66.0,67.51,64.33,64.98,320670.0
2021-04-01,65.97,67.28,63.75,65.29,361649.0
2021-04-02,65.97,67.28,63.75,65.29,361649.0
2021-04-03,65.97,67.28,63.75,65.29,361649.0
2021-04-04,65.97,67.28,63.75,65.29,361649.0
2021-04-05,67.52,67.99,65.7,66.95,290216.0
2021-04-06,67.48,68.7375,64.13,64.38,200686.0
2021-04-07,64.64,65.05,61.26,62.01,320542.0
2021-04-08,62.92,64.34,61.21,62.0,462894.0
2021-04-09,61.61,63.1568,60.48,61.7,299603.0
2021-04-10,61.61,63.1568,60.48,61.7,299603.0
2021-04-11,61.61,63.1568,60.48,61.7,299603.0
2021-04-12,61.48,61.75,59.33,60.8,281962.0
2021-04-13,54.87,56.0,51.94,54.3,3310661.0
2021-04-14,54.75,55.55,52.635,53.26,1371532.0
2021-04-15,53.38,61.5,52.5201,57.82,2503390.0
2021-04-16,58.94,61.46,57.9263,58.78,4928562.0
2021-04-17,58.94,61.46,57.9263,58.78,4928562.0
2021-04-18,58.94,61.46,57.9263,58.78,4928562.0
2021-04-19,59.7,59.83,55.9,56.84,2261214.0
2021-04-20,57.42,57.45,53.62,54.98,2856500.0
2021-04-21,55.54,57.95,54.24,57.29,689341.0
2021-04-22,57.8,59.17,56.275,57.72,844724.0
2021-04-23,57.84,59.67,57.365,59.08,674392.0
2021-04-24,57.84,59.67,57.365,59.08,674392.0
2021-04-25,57.84,59.67,57.365,59.08,674392.0
2021-04-26,59.05,60.6399,58.7,59.91,432913.0
2021-04-27,59.99,62.76,59.54,59.6,658354.0
2021-04-28,59.54,61.1,58.83,59.75,1044353.0
2021-04-29,59.91,60.965,58.42,59.04,414801.0
2021-04-30,58.11,60.0,57.87,57.96,456522.0
2021-05-01,58.11,60.0,57.87,57.96,456522.0
2021-05-02,58.11,60.0,57.87,57.96,456522.0
2021-05-03,58.66,60.65,58.41,59.04,334631.0
2021-05-04,59.39,59.39,56.15,57.99,524320.0
2021-05-05,58.49,59.945,58.03,58.62,388853.0
2021-05-06,58.24,58.55,54.13,56.6,636023.0
2021-05-07,55.89,58.83,55.89,58.27,426564.0
2021-05-08,55.89,58.83,55.89,58.27,426564.0
2021-05-09,55.89,58.83,55.89,58.27,426564.0
2021-05-10,56.82,57.89,54.91,55.17,741609.0
2021-05-11,52.72,57.12,52.34,56.19,574217.0
2021-05-12,55.77,56.12,51.37,51.91,663041.0
2021-05-13,52.28,54.24,50.9542,53.16,405521.0
2021-05-14,53.62,55.06,53.13,53.57,284826.0
2021-05-15,53.62,55.06,53.13,53.57,284826.0
2021-05-16,53.62,55.06,53.13,53.57,284826.0
2021-05-17,52.95,53.66,51.84,53.39,389660.0
2021-05-18,53.48,55.18,52.94,53.01,361291.0
2021-05-19,51.82,53.15,51.09,53.13,498080.0
2021-05-20,53.14,53.85,51.58,53.56,382786.0
2021-05-21,54.65,54.98,52.93,53.21,201638.0
2021-05-22,54.65,54.98,52.93,53.21,201638.0
2021-05-23,54.65,54.98,52.93,53.21,201638.0
2021-05-24,53.2,55.9,52.75,55.22,496519.0
2021-05-25,55.54,56.61,55.04,55.15,512821.0
2021-05-26,55.02,57.25,54.9108,56.98,342439.0
2021-05-27,57.81,58.59,56.45,58.28,391149.0
2021-05-28,58.28,59.04,56.68,58.03,557541.0
2021-05-29,58.28,59.04,56.68,58.03,557541.0
2021-05-30,58.28,59.04,56.68,58.03,557541.0
2021-05-31,58.28,59.04,56.68,58.03,557541.0
2021-06-01,58.76,59.4,57.59,58.55,279366.0
2021-06-02,58.58,59.64,56.54,59.63,482340.0
2021-06-03,58.78,58.86,56.61,57.16,382542.0
2021-06-04,57.54,58.18,55.25,55.84,393068.0
2021-06-05,57.54,58.18,55.25,55.84,393068.0
2021-06-06,57.54,58.18,55.25,55.84,393068.0
2021-06-07,55.83,57.65,55.83,55.94,543688.0
2021-06-08,56.22,56.85,54.0642,55.02,409857.0
2021-06-09,55.55,55.8,53.53,53.7,415876.0
2021-06-10,54.11,54.57,50.89,52.48,346454.0
2021-06-11,52.68,54.03,52.52,52.75,235493.0
2021-06-12,52.68,54.03,52.52,52.75,235493.0
2021-06-13,52.68,54.03,52.52,52.75,235493.0
2021-06-14,53.05,53.88,51.98,52.21,264555.0
2021-06-15,52.01,53.369,51.46,51.78,367692.0
2021-06-16,51.48,52.83,51.06,52.68,609232.0
2021-06-17,52.44,53.77,50.66,50.9,653388.0
2021-06-18,50.01,51.59,49.545,51.49,890739.0
2021-06-19,50.01,51.59,49.545,51.49,890739.0
2021-06-20,50.01,51.59,49.545,51.49,890739.0
2021-06-21,52.57,53.71,51.97,52.65,362052.0
2021-06-22,52.19,54.03,52.06,53.62,348287.0
2021-06-23,53.64,55.0,53.18,54.98,325483.0
2021-06-24,55.55,55.78,54.25,54.75,481064.0
2021-06-25,55.15,55.59,53.46,53.6,1708549.0
2021-06-26,55.15,55.59,53.46,53.6,1708549.0
2021-06-27,55.15,55.59,53.46,53.6,1708549.0
2021-06-28,55.22,55.23,51.73,53.28,347385.0
2021-06-29,53.84,54.4,53.2,53.4,241954.0
2021-06-30,53.34,54.265,52.41,54.11,402035.0
2021-07-01,54.56,55.13,53.615,53.84,158889.0
2021-07-02,53.91,55.03,52.1,52.42,231558.0
2021-07-03,53.91,55.03,52.1,52.42,231558.0
2021-07-04,53.91,55.03,52.1,52.42,231558.0
2021-07-05,53.91,55.03,52.1,52.42,231558.0
2021-07-06,52.37,52.7,51.295,51.84,216594.0
2021-07-07,51.58,51.815,49.11,49.76,503659.0
2021-07-08,48.85,51.14,48.23,50.22,352938.0
2021-07-09,50.79,52.22,50.23,52.02,143624.0
2021-07-10,50.79,52.22,50.23,52.02,143624.0
2021-07-11,50.79,52.22,50.23,52.02,143624.0
2021-07-12,51.95,52.605,50.71,52.46,245109.0
2021-07-13,52.25,52.4,50.81,51.24,201583.0
2021-07-14,51.52,52.1,49.16,49.51,351203.0
2021-07-15,49.26,49.52,47.56,48.18,228875.0
2021-07-16,48.84,48.84,46.411,47.15,303522.0
2021-07-17,48.84,48.84,46.411,47.15,303522.0
2021-07-18,48.84,48.84,46.411,47.15,303522.0
2021-07-19,45.17,46.65,44.51,45.12,420431.0
2021-07-20,45.62,46.66,44.43,45.75,435338.0
2021-07-21,46.67,47.73,45.96,46.9,328704.0
2021-07-22,46.47,46.57,44.555,46.52,411302.0
2021-07-23,46.96,47.31,46.18,46.37,205495.0
2021-07-24,46.96,47.31,46.18,46.37,205495.0
2021-07-25,46.96,47.31,46.18,46.37,205495.0
2021-07-26,47.6,49.58,46.5301,48.86,377657.0
2021-07-27,48.11,49.56,47.56,49.56,363726.0
2021-07-28,50.1,51.49,48.93,50.27,289382.0
2021-07-29,50.99,51.14,49.03,49.29,217984.0
2021-07-30,49.15,50.73,49.0,49.25,314846.0
2021-07-31,49.15,50.73,49.0,49.25,314846.0
2021-08-01,49.15,50.73,49.0,49.25,314846.0
2021-08-02,49.3,50.67,49.0,49.27,169427.0
2021-08-03,49.25,49.25,47.12,47.88,388872.0
2021-08-04,47.38,49.16,47.38,47.96,211570.0
2021-08-05,47.97,52.34,47.97,51.37,509323.0
2021-08-06,52.29,53.72,51.275,53.48,430947.0
2021-08-07,52.29,53.72,51.275,53.48,430947.0
2021-08-08,52.29,53.72,51.275,53.48,430947.0
2021-08-09,49.72,54.75,49.72,53.22,478265.0
2021-08-10,53.0,53.085,50.875,51.26,602091.0
2021-08-11,51.67,52.22,50.41,50.75,412344.0
2021-08-12,50.93,51.02,49.03,49.69,233459.0
2021-08-13,50.07,50.07,47.4,48.01,282705.0
2021-08-14,50.07,50.07,47.4,48.01,282705.0
2021-08-15,50.07,50.07,47.4,48.01,282705.0
2021-08-16,47.4,47.865,46.85,47.36,401845.0
2021-08-17,46.98,47.19,44.53,44.62,647119.0
2021-08-18,44.4,45.865,44.19,45.04,1086006.0
2021-08-19,44.68,45.7,43.95,44.29,463574.0
2021-08-20,43.94,45.11,43.72,45.06,246094.0
2021-08-21,43.94,45.11,43.72,45.06,246094.0
2021-08-22,43.94,45.11,43.72,45.06,246094.0
2021-08-23,45.51,47.25,45.3233,46.98,177038.0
2021-08-24,47.33,48.92,47.01,48.71,256673.0
2021-08-25,48.79,51.32,48.64,50.28,377822.0
2021-08-26,50.3,52.5,49.55,50.37,374813.0
2021-08-27,50.37,52.0228,50.34,51.75,401277.0
2021-08-28,50.37,52.0228,50.34,51.75,401277.0
2021-08-29,50.37,52.0228,50.34,51.75,401277.0
2021-08-30,51.72,51.79,50.44,50.48,159032.0
2021-08-31,50.17,50.73,49.1,50.24,317037.0
2021-09-01,50.8,50.8,48.74,48.76,386289.0
2021-09-02,49.08,50.06,48.39,48.87,312047.0
2021-09-03,48.87,49.21,46.1,48.0,254619.0
2021-09-04,48.87,49.21,46.1,48.0,254619.0
2021-09-05,48.87,49.21,46.1,48.0,254619.0
2021-09-06,48.87,49.21,46.1,48.0,254619.0
2021-09-07,48.34,50.31,48.18,50.04,508976.0
2021-09-08,49.53,49.965,47.56,47.58,234284.0
2021-09-09,47.88,49.7228,47.44,48.29,396511.0
2021-09-10,48.25,48.89,47.24,47.25,677664.0
2021-09-11,48.25,48.89,47.24,47.25,677664.0
2021-09-12,48.25,48.89,47.24,47.25,677664.0
2021-09-13,47.94,47.94,45.3,45.77,228561.0
2021-09-14,45.61,46.29,44.52,45.09,335275.0
2021-09-15,44.22,45.365,44.02,44.82,380524.0
2021-09-16,44.85,45.6,44.45,44.67,494007.0
2021-09-17,45.23,45.5,43.81,44.17,536228.0
2021-09-18,45.23,45.5,43.81,44.17,536228.0
2021-09-19,45.23,45.5,43.81,44.17,536228.0
2021-09-20,42.86,44.29,42.67,42.91,443678.0
2021-09-21,43.26,44.78,43.16,44.33,963385.0
