,DG US Equity
2022-09-24,14.106
2022-09-25,14.106
2022-09-26,14.106
2022-09-27,14.106
2022-09-28,14.106
2022-09-29,14.106
2022-09-30,14.106
2022-10-01,14.106
2022-10-02,14.106
2022-10-03,14.106
2022-10-04,14.106
2022-10-05,14.106
2022-10-06,14.106
2022-10-07,14.203
2022-10-08,14.203
2022-10-09,14.203
2022-10-10,14.203
2022-10-11,14.203
2022-10-12,14.203
2022-10-13,14.203
2022-10-14,14.203
2022-10-15,14.203
2022-10-16,14.203
2022-10-17,14.203
2022-10-18,14.201
2022-10-19,14.201
2022-10-20,14.201
2022-10-21,14.201
2022-10-22,14.201
2022-10-23,14.201
2022-10-24,14.201
2022-10-25,14.201
2022-10-26,14.201
2022-10-27,14.201
2022-10-28,14.201
2022-10-29,14.201
2022-10-30,14.201
2022-10-31,14.208
2022-11-01,14.208
2022-11-02,14.175
2022-11-03,14.175
2022-11-04,14.175
2022-11-05,14.175
2022-11-06,14.175
2022-11-07,14.175
2022-11-08,14.175
2022-11-09,14.175
2022-11-10,14.175
2022-11-11,14.175
2022-11-12,14.175
2022-11-13,14.175
2022-11-14,14.175
2022-11-15,14.175
2022-11-16,14.175
2022-11-17,14.175
2022-11-18,14.175
2022-11-19,14.175
2022-11-20,14.175
2022-11-21,14.175
2022-11-22,14.175
2022-11-23,14.175
2022-11-24,14.175
2022-11-25,14.175
2022-11-26,14.175
2022-11-27,14.175
2022-11-28,14.175
2022-11-29,14.209
2022-11-30,14.209
2022-12-01,13.971
2022-12-02,13.864
2022-12-03,13.864
2022-12-04,13.814
2022-12-05,13.803
2022-12-06,13.803
2022-12-07,13.803
2022-12-08,13.803
2022-12-09,13.803
2022-12-10,13.803
2022-12-11,13.803
2022-12-12,13.803
2022-12-13,13.803
2022-12-14,13.803
2022-12-15,13.716
2022-12-16,13.676
2022-12-17,13.676
2022-12-18,13.676
2022-12-19,13.687
2022-12-20,13.687
2022-12-21,13.687
2022-12-22,13.687
2022-12-23,13.687
2022-12-24,13.687
2022-12-25,13.687
2022-12-26,13.687
2022-12-27,13.689
2022-12-28,13.689
2022-12-29,13.689
2022-12-30,13.689
2022-12-31,13.689
2023-01-01,13.689
2023-01-02,13.689
2023-01-03,13.689
2023-01-04,13.689
2023-01-05,13.689
2023-01-06,13.689
2023-01-07,13.689
2023-01-08,13.689
2023-01-09,13.68
2023-01-10,13.664
2023-01-11,13.664
2023-01-12,13.589
2023-01-13,13.589
2023-01-14,13.589
2023-01-15,13.589
2023-01-16,13.589
2023-01-17,13.589
2023-01-18,13.589
2023-01-19,13.542
2023-01-20,13.542
2023-01-21,13.542
2023-01-22,13.528
2023-01-23,13.528
2023-01-24,13.548
2023-01-25,13.548
2023-01-26,13.52
2023-01-27,13.52
2023-01-28,13.52
2023-01-29,13.52
2023-01-30,13.52
2023-01-31,13.519
2023-02-01,13.519
2023-02-02,13.519
2023-02-03,13.519
2023-02-04,13.519
2023-02-05,13.519
2023-02-06,13.519
2023-02-07,13.507
2023-02-08,13.507
2023-02-09,13.507
2023-02-10,13.507
2023-02-11,13.507
2023-02-12,13.507
2023-02-13,13.507
2023-02-14,13.507
2023-02-15,13.507
2023-02-16,13.507
2023-02-17,13.436
2023-02-18,13.436
2023-02-19,13.436
2023-02-20,13.436
2023-02-21,13.436
2023-02-22,13.436
2023-02-23,12.676
2023-02-24,12.629
2023-02-25,12.605
2023-02-26,12.605
2023-02-27,12.552
2023-02-28,12.552
2023-03-01,12.552
2023-03-02,12.552
2023-03-03,12.552
2023-03-04,12.552
2023-03-05,12.552
2023-03-06,12.552
2023-03-07,12.552
2023-03-08,12.498
2023-03-09,12.498
2023-03-10,12.498
2023-03-11,12.498
2023-03-12,12.498
2023-03-13,12.498
2023-03-14,12.498
2023-03-15,12.498
2023-03-16,12.477
2023-03-17,12.454
2023-03-18,12.454
2023-03-19,12.417
2023-03-20,12.412
2023-03-21,12.421
2023-03-22,12.421
2023-03-23,12.421
2023-03-24,12.421
2023-03-25,12.421
2023-03-26,12.421
2023-03-27,12.421
2023-03-28,12.421
2023-03-29,12.421
2023-03-30,12.461
2023-03-31,12.461
2023-04-01,12.461
2023-04-02,12.461
2023-04-03,12.461
2023-04-04,12.469
2023-04-05,12.469
2023-04-06,12.469
2023-04-07,12.469
2023-04-08,12.469
2023-04-09,12.469
2023-04-10,12.469
2023-04-11,12.469
2023-04-12,12.469
2023-04-13,12.469
2023-04-14,12.469
2023-04-15,12.469
2023-04-16,12.469
2023-04-17,12.469
2023-04-18,12.469
2023-04-19,12.469
2023-04-20,12.47
2023-04-21,12.458
2023-04-22,12.458
2023-04-23,12.458
2023-04-24,12.458
2023-04-25,12.458
2023-04-26,12.458
2023-04-27,12.458
2023-04-28,12.458
2023-04-29,12.458
2023-04-30,12.458
2023-05-01,12.458
2023-05-02,12.478
2023-05-03,12.478
2023-05-04,12.478
2023-05-05,12.478
2023-05-06,12.478
2023-05-07,12.478
2023-05-08,12.478
2023-05-09,12.478
2023-05-10,12.478
2023-05-11,12.478
2023-05-12,12.478
2023-05-13,12.478
2023-05-14,12.478
2023-05-15,12.478
2023-05-16,12.478
2023-05-17,12.478
2023-05-18,12.478
2023-05-19,12.478
2023-05-20,12.478
2023-05-21,12.478
2023-05-22,12.478
2023-05-23,12.478
2023-05-24,12.479
2023-05-25,12.466
2023-05-26,12.451
2023-05-27,12.451
2023-05-28,12.451
2023-05-29,12.451
2023-05-30,12.451
2023-05-31,12.451
2023-06-01,11.843
2023-06-02,11.357
2023-06-03,11.325
2023-06-04,11.252
2023-06-05,11.095
2023-06-06,11.043
2023-06-07,11.036
2023-06-08,11.036
2023-06-09,11.008
2023-06-10,11.008
2023-06-11,11.008
2023-06-12,11.008
2023-06-13,11.008
2023-06-14,11.008
2023-06-15,11.008
2023-06-16,11.014
2023-06-17,11.014
2023-06-18,11.014
2023-06-19,11.019
2023-06-20,11.019
2023-06-21,11.019
2023-06-22,11.019
2023-06-23,11.019
2023-06-24,11.019
2023-06-25,11.019
2023-06-26,11.019
2023-06-27,11.019
2023-06-28,11.019
2023-06-29,11.019
2023-06-30,11.019
2023-07-01,11.019
2023-07-02,11.019
2023-07-03,11.019
2023-07-04,11.019
2023-07-05,11.002
2023-07-06,11.002
2023-07-07,11.002
2023-07-08,11.002
2023-07-09,11.002
2023-07-10,11.002
2023-07-11,11.002
2023-07-12,11.002
2023-07-13,11.002
2023-07-14,11.002
2023-07-15,11.002
2023-07-16,11.002
2023-07-17,11.002
2023-07-18,11.002
2023-07-19,11.002
2023-07-20,11.002
2023-07-21,11.002
2023-07-22,11.002
2023-07-23,11.002
2023-07-24,11.002
2023-07-25,11.002
2023-07-26,11.002
2023-07-27,11.002
2023-07-28,11.002
2023-07-29,11.002
2023-07-30,11.051
2023-07-31,11.051
2023-08-01,11.051
2023-08-02,11.05
2023-08-03,11.05
2023-08-04,11.05
2023-08-05,11.05
2023-08-06,11.05
2023-08-07,11.048
2023-08-08,11.038
2023-08-09,11.038
2023-08-10,11.038
2023-08-11,11.025
2023-08-12,11.025
2023-08-13,11.009
2023-08-14,11.004
2023-08-15,10.984
2023-08-16,10.984
2023-08-17,10.984
2023-08-18,10.984
2023-08-19,10.984
2023-08-20,10.984
2023-08-21,10.984
2023-08-22,10.984
2023-08-23,10.984
2023-08-24,10.984
2023-08-25,10.984
2023-08-26,10.984
2023-08-27,10.984
2023-08-28,10.965
2023-08-29,10.948
2023-08-30,10.948
2023-08-31,9.37
2023-09-01,8.975
2023-09-02,8.975
2023-09-03,8.9
2023-09-04,8.9
2023-09-05,8.81
2023-09-06,8.715
2023-09-07,8.715
2023-09-08,8.704
2023-09-09,8.704
2023-09-10,8.704
2023-09-11,8.704
2023-09-12,8.627
2023-09-13,8.627
2023-09-14,8.627
2023-09-15,8.627
2023-09-16,8.627
2023-09-17,8.615
2023-09-18,8.437
2023-09-19,8.437
2023-09-20,8.415
2023-09-21,8.394
2023-09-22,8.394
2023-09-23,8.394
2023-09-24,8.394
2023-09-25,8.394
2023-09-26,8.394
2023-09-27,8.394
2023-09-28,8.394
2023-09-29,8.394
2023-09-30,8.394
2023-10-01,8.394
2023-10-02,8.394
2023-10-03,8.393
2023-10-04,8.393
2023-10-05,8.393
2023-10-06,8.393
2023-10-07,8.393
2023-10-08,8.393
2023-10-09,8.355
2023-10-10,8.328
2023-10-11,8.328
2023-10-12,8.021
2023-10-13,7.786
2023-10-14,7.786
2023-10-15,7.786
2023-10-16,7.784
2023-10-17,7.759
2023-10-18,7.759
2023-10-19,7.759
2023-10-20,7.759
2023-10-21,7.759
2023-10-22,7.759
2023-10-23,7.777
2023-10-24,7.777
2023-10-25,7.777
2023-10-26,7.777
2023-10-27,7.777
2023-10-28,7.777
2023-10-29,7.777
2023-10-30,7.704
2023-10-31,7.704
2023-11-01,7.704
2023-11-02,7.664
2023-11-03,7.664
2023-11-04,7.664
2023-11-05,7.664
2023-11-06,7.657
2023-11-07,7.657
2023-11-08,7.657
2023-11-09,7.657
2023-11-10,7.657
2023-11-11,7.657
2023-11-12,7.657
2023-11-13,7.657
2023-11-14,7.629
2023-11-15,7.629
2023-11-16,7.629
2023-11-17,7.629
2023-11-18,7.629
2023-11-19,7.629
2023-11-20,7.629
2023-11-21,7.629
2023-11-22,7.631
2023-11-23,7.631
2023-11-24,7.631
2023-11-25,7.631
2023-11-26,7.631
2023-11-27,7.631
2023-11-28,7.631
2023-11-29,7.631
2023-11-30,7.62
2023-12-01,7.62
2023-12-02,7.62
2023-12-03,7.62
2023-12-04,7.608
2023-12-05,7.632
2023-12-06,7.632
2023-12-07,7.657
2023-12-08,7.588
2023-12-09,7.588
2023-12-10,7.584
2023-12-11,7.508
2023-12-12,7.496
2023-12-13,7.496
2023-12-14,7.496
2023-12-15,7.483
2023-12-16,7.483
2023-12-17,7.483
2023-12-18,7.483
2023-12-19,7.483
2023-12-20,7.478
2023-12-21,7.478
2023-12-22,7.478
2023-12-23,7.478
2023-12-24,7.478
2023-12-25,7.478
2023-12-26,7.478
2023-12-27,7.478
2023-12-28,7.478
2023-12-29,7.478
2023-12-30,7.478
2023-12-31,7.478
2024-01-01,7.478
2024-01-02,7.485
