,DKS US Equity
2022-09-13,12.446
2022-09-14,12.446
2022-09-15,12.446
2022-09-16,12.446
2022-09-17,12.446
2022-09-18,12.446
2022-09-19,12.446
2022-09-20,12.446
2022-09-21,12.446
2022-09-22,12.446
2022-09-23,12.446
2022-09-24,12.446
2022-09-25,12.446
2022-09-26,12.446
2022-09-27,12.456
2022-09-28,12.456
2022-09-29,12.456
2022-09-30,12.456
2022-10-01,12.456
2022-10-02,12.456
2022-10-03,12.456
2022-10-04,12.456
2022-10-05,12.456
2022-10-06,12.456
2022-10-07,12.456
2022-10-08,12.456
2022-10-09,12.456
2022-10-10,12.456
2022-10-11,12.456
2022-10-12,12.456
2022-10-13,12.456
2022-10-14,12.456
2022-10-15,12.456
2022-10-16,12.456
2022-10-17,12.456
2022-10-18,12.456
2022-10-19,12.456
2022-10-20,12.377
2022-10-21,12.377
2022-10-22,12.377
2022-10-23,12.377
2022-10-24,12.377
2022-10-25,12.377
2022-10-26,12.377
2022-10-27,12.377
2022-10-28,12.377
2022-10-29,12.377
2022-10-30,12.377
2022-10-31,12.377
2022-11-01,12.377
2022-11-02,12.377
2022-11-03,12.369
2022-11-04,12.369
2022-11-05,12.369
2022-11-06,12.369
2022-11-07,12.369
2022-11-08,12.369
2022-11-09,12.369
2022-11-10,12.479
2022-11-11,12.479
2022-11-12,12.479
2022-11-13,12.479
2022-11-14,12.479
2022-11-15,12.479
2022-11-16,12.479
2022-11-17,12.593
2022-11-18,12.593
2022-11-19,12.593
2022-11-20,12.593
2022-11-21,12.593
2022-11-22,12.788
2022-11-23,12.782
2022-11-24,12.782
2022-11-25,12.782
2022-11-26,12.782
2022-11-27,12.784
2022-11-28,12.784
2022-11-29,12.784
2022-11-30,12.784
2022-12-01,12.784
2022-12-02,12.828
2022-12-03,12.828
2022-12-04,12.828
2022-12-05,12.828
2022-12-06,12.828
2022-12-07,12.828
2022-12-08,12.826
2022-12-09,12.826
2022-12-10,12.826
2022-12-11,12.842
2022-12-12,12.975
2022-12-13,12.842
2022-12-14,12.842
2022-12-15,12.898
2022-12-16,12.898
2022-12-17,12.898
2022-12-18,12.898
2022-12-19,12.898
2022-12-20,12.898
2022-12-21,12.898
2022-12-22,12.898
2022-12-23,12.898
2022-12-24,12.898
2022-12-25,12.898
2022-12-26,12.898
2022-12-27,12.898
2022-12-28,12.898
2022-12-29,12.898
2022-12-30,12.898
2022-12-31,12.898
2023-01-01,12.898
2023-01-02,12.898
2023-01-03,12.898
2023-01-04,12.882
2023-01-05,12.882
2023-01-06,12.874
2023-01-07,12.874
2023-01-08,12.865
2023-01-09,12.865
2023-01-10,12.865
2023-01-11,12.865
2023-01-12,12.865
2023-01-13,12.865
2023-01-14,12.865
2023-01-15,12.865
2023-01-16,12.865
2023-01-17,12.865
2023-01-18,12.865
2023-01-19,12.865
2023-01-20,12.865
2023-01-21,12.865
2023-01-22,12.865
2023-01-23,12.865
2023-01-24,12.865
2023-01-25,12.865
2023-01-26,12.865
2023-01-27,12.865
2023-01-28,12.865
2023-01-29,12.865
2023-01-30,12.865
2023-01-31,12.865
2023-02-01,12.865
2023-02-02,12.865
2023-02-03,12.877
2023-02-04,12.877
2023-02-05,12.877
2023-02-06,12.877
2023-02-07,12.839
2023-02-08,12.839
2023-02-09,12.839
2023-02-10,12.839
2023-02-11,12.839
2023-02-12,12.839
2023-02-13,12.786
2023-02-14,12.786
2023-02-15,12.786
2023-02-16,12.756
2023-02-17,12.756
2023-02-18,12.756
2023-02-19,12.756
2023-02-20,12.756
2023-02-21,12.756
2023-02-22,12.756
2023-02-23,12.756
2023-02-24,12.756
2023-02-25,12.756
2023-02-26,12.756
2023-02-27,12.756
2023-02-28,12.767
2023-03-01,12.767
2023-03-02,12.767
2023-03-03,12.739
2023-03-04,12.739
2023-03-05,12.739
2023-03-06,12.742
2023-03-07,13.649
2023-03-08,13.877
2023-03-09,13.927
2023-03-10,13.927
2023-03-11,13.927
2023-03-12,13.927
2023-03-13,13.927
2023-03-14,13.93
2023-03-15,13.93
2023-03-16,13.93
2023-03-17,13.927
2023-03-18,13.927
2023-03-19,13.927
2023-03-20,13.96
2023-03-21,13.96
2023-03-22,13.96
2023-03-23,13.96
2023-03-24,13.958
2023-03-25,13.958
2023-03-26,13.958
2023-03-27,13.899
2023-03-28,13.932
2023-03-29,13.932
2023-03-30,13.932
2023-03-31,13.932
2023-04-01,13.932
2023-04-02,13.932
2023-04-03,13.932
2023-04-04,13.932
2023-04-05,13.932
2023-04-06,13.932
2023-04-07,13.932
2023-04-08,13.932
2023-04-09,13.932
2023-04-10,13.932
2023-04-11,13.97
2023-04-12,13.97
2023-04-13,13.97
2023-04-14,13.97
2023-04-15,13.97
2023-04-16,13.97
2023-04-17,13.97
2023-04-18,13.97
2023-04-19,13.97
2023-04-20,13.97
2023-04-21,13.97
2023-04-22,13.97
2023-04-23,13.97
2023-04-24,13.97
2023-04-25,13.97
2023-04-26,13.97
2023-04-27,13.97
2023-04-28,13.97
2023-04-29,13.97
2023-04-30,13.97
2023-05-01,13.97
2023-05-02,13.97
2023-05-03,13.957
2023-05-04,13.957
2023-05-05,13.957
2023-05-06,13.957
2023-05-07,13.957
2023-05-08,13.957
2023-05-09,14.023
2023-05-10,14.023
2023-05-11,14.021
2023-05-12,14.009
2023-05-13,14.009
2023-05-14,13.997
2023-05-15,14.053
2023-05-16,14.037
2023-05-17,14.037
2023-05-18,14.009
2023-05-19,14.002
2023-05-20,14.002
2023-05-21,13.982
2023-05-22,13.982
2023-05-23,13.841
2023-05-24,13.672
2023-05-25,13.674
2023-05-26,13.674
2023-05-27,13.674
2023-05-28,13.674
2023-05-29,13.674
2023-05-30,13.674
2023-05-31,13.674
2023-06-01,13.677
2023-06-02,13.677
2023-06-03,13.677
2023-06-04,13.677
2023-06-05,13.677
2023-06-06,13.677
2023-06-07,13.677
2023-06-08,13.677
2023-06-09,13.677
2023-06-10,13.677
2023-06-11,13.677
2023-06-12,13.677
2023-06-13,13.677
2023-06-14,13.677
2023-06-15,13.677
2023-06-16,13.667
2023-06-17,13.667
2023-06-18,13.667
2023-06-19,13.667
2023-06-20,13.667
2023-06-21,13.667
2023-06-22,13.667
2023-06-23,13.697
2023-06-24,13.697
2023-06-25,13.697
2023-06-26,13.697
2023-06-27,13.697
2023-06-28,13.693
2023-06-29,13.693
2023-06-30,13.656
2023-07-01,13.656
2023-07-02,13.656
2023-07-03,13.656
2023-07-04,13.656
2023-07-05,13.644
2023-07-06,13.644
2023-07-07,13.644
2023-07-08,13.644
2023-07-09,13.644
2023-07-10,13.644
2023-07-11,13.644
2023-07-12,13.644
2023-07-13,13.644
2023-07-14,13.644
2023-07-15,13.644
2023-07-16,13.644
2023-07-17,13.644
2023-07-18,13.644
2023-07-19,13.644
2023-07-20,13.644
2023-07-21,13.644
2023-07-22,13.644
2023-07-23,13.644
2023-07-24,13.644
2023-07-25,13.644
2023-07-26,13.644
2023-07-27,13.644
2023-07-28,13.644
2023-07-29,13.644
2023-07-30,13.644
2023-07-31,13.644
2023-08-01,13.644
2023-08-02,13.644
2023-08-03,13.642
2023-08-04,13.642
2023-08-05,13.642
2023-08-06,13.642
2023-08-07,13.642
2023-08-08,13.642
2023-08-09,13.642
2023-08-10,13.642
2023-08-11,13.642
2023-08-12,13.642
2023-08-13,13.642
2023-08-14,13.649
2023-08-15,13.703
2023-08-16,13.74
2023-08-17,13.74
2023-08-18,13.742
2023-08-19,13.742
2023-08-20,13.742
2023-08-21,13.742
2023-08-22,13.02
2023-08-23,12.54
2023-08-24,12.54
2023-08-25,12.54
2023-08-26,12.54
2023-08-27,12.54
2023-08-28,12.409
2023-08-29,12.409
2023-08-30,12.418
2023-08-31,12.418
2023-09-01,12.418
2023-09-02,12.418
2023-09-03,12.418
2023-09-04,12.418
2023-09-05,12.416
2023-09-06,12.416
2023-09-07,12.416
2023-09-08,12.417
2023-09-09,12.417
2023-09-10,12.417
2023-09-11,12.417
2023-09-12,12.417
2023-09-13,12.417
2023-09-14,12.417
2023-09-15,12.417
2023-09-16,12.417
2023-09-17,12.417
2023-09-18,12.417
2023-09-19,12.417
2023-09-20,12.417
2023-09-21,12.417
2023-09-22,12.417
2023-09-23,12.417
2023-09-24,12.417
2023-09-25,12.417
2023-09-26,12.417
2023-09-27,12.417
2023-09-28,12.375
2023-09-29,12.375
2023-09-30,12.375
2023-10-01,12.375
2023-10-02,12.375
2023-10-03,12.338
2023-10-04,12.338
2023-10-05,12.338
2023-10-06,12.356
2023-10-07,12.356
2023-10-08,12.356
2023-10-09,12.356
2023-10-10,12.356
2023-10-11,12.356
2023-10-12,12.356
2023-10-13,12.356
2023-10-14,12.356
2023-10-15,12.356
2023-10-16,12.356
2023-10-17,12.356
2023-10-18,12.356
2023-10-19,12.356
2023-10-20,12.356
2023-10-21,12.356
2023-10-22,12.356
2023-10-23,12.356
2023-10-24,12.356
2023-10-25,12.356
2023-10-26,12.356
2023-10-27,12.356
2023-10-28,12.356
2023-10-29,12.356
2023-10-30,12.356
2023-10-31,12.356
2023-11-01,12.352
2023-11-02,12.348
2023-11-03,12.348
2023-11-04,12.348
2023-11-05,12.348
2023-11-06,12.344
2023-11-07,12.344
2023-11-08,12.36
2023-11-09,12.36
2023-11-10,12.36
2023-11-11,12.36
2023-11-12,12.346
2023-11-13,12.292
2023-11-14,12.252
2023-11-15,12.275
2023-11-16,12.281
2023-11-17,12.351
2023-11-18,12.351
2023-11-19,12.351
2023-11-20,12.351
2023-11-21,12.584
2023-11-22,12.834
2023-11-23,12.828
2023-11-24,12.865
2023-11-25,12.865
2023-11-26,12.932
2023-11-27,12.892
2023-11-28,12.892
2023-11-29,12.892
2023-11-30,12.892
2023-12-01,12.892
2023-12-02,12.892
2023-12-03,12.892
2023-12-04,12.881
2023-12-05,12.89
2023-12-06,12.89
2023-12-07,12.893
2023-12-08,12.836
2023-12-09,12.836
2023-12-10,12.836
2023-12-11,12.807
2023-12-12,12.807
2023-12-13,12.807
2023-12-14,12.807
2023-12-15,12.807
2023-12-16,12.807
2023-12-17,12.807
2023-12-18,12.807
2023-12-19,12.807
2023-12-20,12.807
2023-12-21,12.8
2023-12-22,12.8
2023-12-23,12.8
2023-12-24,12.8
2023-12-25,12.8
2023-12-26,12.8
2023-12-27,12.8
2023-12-28,12.807
2023-12-29,12.807
2023-12-30,12.807
2023-12-31,12.807
2024-01-01,12.807
2024-01-02,12.807
