,AU US Equity,AU US Equity,AU US Equity,AU US Equity,AU US Equity
1987-08-11,,28.11,27.8498,,29714.0
1987-08-12,,27.8498,27.3292,,11292.0
1987-08-13,,26.2881,26.0278,,23525.0
1987-08-14,,25.247,24.9867,,50123.0
1987-08-15,,25.247,24.9867,,50123.0
1987-08-16,,25.247,24.9867,,50123.0
1987-08-17,,25.7675,25.5073,,14659.0
1987-08-18,,27.8498,27.5895,,26996.0
1987-08-19,,28.6306,28.3703,,21225.0
1987-08-20,,27.5895,27.3292,,27498.0
1987-08-21,,27.3292,27.0689,,29213.0
1987-08-22,,27.3292,27.0689,,29213.0
1987-08-23,,27.3292,27.0689,,29213.0
1987-08-24,,27.3292,27.0689,,22437.0
1987-08-25,,27.5895,27.3292,,19719.0
1987-08-26,,28.6306,28.11,,26160.0
1987-08-27,,28.11,27.8498,,5960.0
1987-08-28,,28.3703,28.11,,29526.0
1987-08-29,,28.3703,28.11,,29526.0
1987-08-30,,28.3703,28.11,,29526.0
1987-08-31,,29.1512,28.8909,,43955.0
1987-09-01,,29.6717,29.4114,,21434.0
1987-09-02,,30.4525,30.1923,,15788.0
1987-09-03,,30.4525,29.932,,11815.0
1987-09-04,,30.1923,29.932,,21266.0
1987-09-05,,30.1923,29.932,,21266.0
1987-09-06,,30.1923,29.932,,21266.0
1987-09-07,,30.1923,29.932,,21266.0
1987-09-08,,29.6717,29.1512,,12651.0
1987-09-09,,28.6306,28.3703,,12965.0
1987-09-10,,29.4114,28.8909,,16206.0
1987-09-11,,28.6306,28.3703,,8594.0
1987-09-12,,28.6306,28.3703,,8594.0
1987-09-13,,28.6306,28.3703,,8594.0
1987-09-14,,28.3703,27.8498,,4872.0
1987-09-15,,28.6306,28.11,,6399.0
1987-09-16,,28.11,27.8498,,3806.0
1987-09-17,,28.11,27.8498,,19238.0
1987-09-18,,28.3703,28.11,,14930.0
1987-09-19,,28.3703,28.11,,14930.0
1987-09-20,,28.3703,28.11,,14930.0
1987-09-21,,28.6306,28.3703,,20618.0
1987-09-22,,28.6306,28.3703,,24549.0
1987-09-23,,28.6306,28.3703,,3283.0
1987-09-24,,29.4114,29.1512,,13237.0
1987-09-25,,29.1512,28.6306,,4287.0
1987-09-26,,29.1512,28.6306,,4287.0
1987-09-27,,29.1512,28.6306,,4287.0
1987-09-28,,28.6306,28.3703,,15955.0
1987-09-29,,28.11,27.8498,,20744.0
1987-09-30,,27.0689,26.8086,,25407.0
1987-10-01,,26.8086,26.2881,,32893.0
1987-10-02,,26.8086,26.5484,,24152.0
1987-10-03,,26.8086,26.5484,,24152.0
1987-10-04,,26.8086,26.5484,,24152.0
1987-10-05,,27.0689,26.8086,,18527.0
1987-10-06,,27.8498,27.5895,,11898.0
1987-10-07,,27.8498,27.5895,,13069.0
1987-10-08,,27.8498,27.5895,,25658.0
1987-10-09,,28.3703,28.11,,16248.0
1987-10-10,,28.3703,28.11,,16248.0
1987-10-11,,28.3703,28.11,,16248.0
1987-10-12,,28.3703,27.8498,,8636.0
1987-10-13,,27.3292,27.0689,,6022.0
1987-10-14,,27.3292,26.8086,,19991.0
1987-10-15,,27.3292,27.0689,,43934.0
1987-10-16,,27.5895,27.3292,,7653.0
1987-10-17,,27.5895,27.3292,,7653.0
1987-10-18,,27.5895,27.3292,,7653.0
1987-10-19,,29.1512,28.8909,,51608.0
1987-10-20,,23.425,23.1648,,69675.0
1987-10-21,,24.9867,24.7264,,45189.0
1987-10-22,,24.4661,23.9456,,15244.0
1987-10-23,,23.425,22.9045,,41780.0
1987-10-24,,23.425,22.9045,,41780.0
1987-10-25,,23.425,22.9045,,41780.0
1987-10-26,,20.8223,20.0414,,28920.0
1987-10-27,,21.8634,21.6031,,13404.0
1987-10-28,,22.9045,22.6442,,43997.0
1987-10-29,,21.6031,21.3428,,32914.0
1987-10-30,,22.3839,22.1236,,32726.0
1987-10-31,,22.3839,22.1236,,32726.0
1987-11-01,,22.3839,22.1236,,32726.0
1987-11-02,,21.6031,21.3428,,12735.0
1987-11-03,,21.0825,20.8223,,39354.0
1987-11-04,,19.7811,19.5209,,14721.0
1987-11-05,,17.6989,17.4386,,47426.0
1987-11-06,,20.3017,19.5209,,27623.0
1987-11-07,,20.3017,19.5209,,27623.0
1987-11-08,,20.3017,19.5209,,27623.0
1987-11-09,,19.2606,19.0003,,43307.0
1987-11-10,,18.2195,17.6989,,40442.0
1987-11-11,,19.2606,18.74,,42930.0
1987-11-12,,20.562,20.3017,,23211.0
1987-11-13,,20.562,20.3017,,14742.0
1987-11-14,,20.562,20.3017,,14742.0
1987-11-15,,20.562,20.3017,,14742.0
1987-11-16,,20.0414,19.7811,,13508.0
1987-11-17,,19.7811,19.2606,,4705.0
1987-11-18,,20.562,20.3017,,4140.0
1987-11-19,,19.5209,19.3918,,35820.0
1987-11-20,,19.2606,19.0003,,24759.0
1987-11-21,,19.2606,19.0003,,24759.0
1987-11-22,,19.2606,19.0003,,24759.0
1987-11-23,,21.0825,20.8223,,21873.0
1987-11-24,,23.1648,22.6442,,35590.0
1987-11-25,,23.425,23.1648,,48869.0
1987-11-26,,23.425,23.1648,,48869.0
1987-11-27,,26.8086,26.5484,,62168.0
1987-11-28,,26.8086,26.5484,,62168.0
1987-11-29,,26.8086,26.5484,,62168.0
1987-11-30,,24.9867,24.7264,,105077.0
1987-12-01,,25.5073,25.247,,74987.0
1987-12-02,,25.5073,25.247,,55895.0
1987-12-03,,25.5073,25.247,,46799.0
1987-12-04,,23.6853,23.425,,41048.0
1987-12-05,,23.6853,23.425,,41048.0
1987-12-06,,23.6853,23.425,,41048.0
1987-12-07,,23.1648,22.9045,,17962.0
1987-12-08,,23.9456,23.6853,,18255.0
1987-12-09,,23.6853,23.425,,37912.0
1987-12-10,,24.9867,24.7264,,47677.0
1987-12-11,,24.7264,24.4661,,38560.0
1987-12-12,,24.7264,24.4661,,38560.0
1987-12-13,,24.7264,24.4661,,38560.0
1987-12-14,,25.247,24.9867,,29568.0
1987-12-15,,22.9045,22.6442,,30049.0
1987-12-16,,23.9456,23.425,,20869.0
1987-12-17,,23.425,23.1648,,31136.0
1987-12-18,,23.1648,22.6442,,6587.0
1987-12-19,,23.1648,22.6442,,6587.0
1987-12-20,,23.1648,22.6442,,6587.0
1987-12-21,,22.6442,22.3839,,9159.0
1987-12-22,,23.1648,22.9045,,19447.0
1987-12-23,,23.425,22.9045,,7842.0
1987-12-24,,23.6853,23.425,,3032.0
1987-12-25,,23.6853,23.425,,3032.0
1987-12-26,,23.6853,23.425,,3032.0
1987-12-27,,23.6853,23.425,,3032.0
1987-12-28,,23.9456,23.425,,11041.0
1987-12-29,,24.2059,23.6853,,6838.0
1987-12-30,,23.6853,23.425,,6231.0
1987-12-31,,23.9456,23.6853,,12128.0
1988-01-01,,23.9456,23.6853,,12128.0
1988-01-02,,23.9456,23.6853,,12128.0
1988-01-03,,23.9456,23.6853,,12128.0
1988-01-04,,22.9045,22.3839,,10602.0
1988-01-05,,23.1648,22.6442,,12212.0
1988-01-06,,23.6853,23.425,,24905.0
1988-01-07,,23.6853,23.1648,,10727.0
1988-01-08,,22.9045,22.6442,,6273.0
1988-01-09,,22.9045,22.6442,,6273.0
1988-01-10,,22.9045,22.6442,,6273.0
1988-01-11,,22.6442,22.1236,,12944.0
1988-01-12,,22.1236,21.6031,,6754.0
1988-01-13,,21.8634,21.6031,,6754.0
1988-01-14,,22.3839,22.1236,,7863.0
1988-01-15,,21.8634,21.6031,,23044.0
1988-01-16,,21.8634,21.6031,,23044.0
1988-01-17,,21.8634,21.6031,,23044.0
1988-01-18,,22.1236,21.8634,,20597.0
1988-01-19,,21.474,21.3428,,10769.0
1988-01-20,,21.6031,21.0825,,8406.0
1988-01-21,,21.3428,21.0825,,7193.0
1988-01-22,,21.6031,21.3428,,15830.0
1988-01-23,,21.6031,21.3428,,15830.0
1988-01-24,,21.6031,21.3428,,15830.0
1988-01-25,,20.562,20.0414,,16917.0
1988-01-26,,20.8223,20.562,,22521.0
1988-01-27,,20.3017,20.0414,,21204.0
1988-01-28,,20.3017,20.0414,,9640.0
1988-01-29,,19.5209,19.2606,,27142.0
1988-01-30,,19.5209,19.2606,,27142.0
1988-01-31,,19.5209,19.2606,,27142.0
1988-02-01,,18.6109,18.2195,,33604.0
1988-02-02,,19.5209,19.1315,,16039.0
1988-02-03,,18.0904,17.9592,,12735.0
1988-02-04,,19.3918,19.2606,,21413.0
1988-02-05,,18.6109,18.2195,,13571.0
1988-02-06,,18.6109,18.2195,,13571.0
1988-02-07,,18.6109,18.2195,,13571.0
1988-02-08,,19.2606,18.74,,17293.0
1988-02-09,,19.0003,18.8712,,14700.0
1988-02-10,,18.74,18.6109,,13738.0
1988-02-11,,19.0003,18.74,,6671.0
1988-02-12,,19.5209,19.2606,,17042.0
1988-02-13,,19.5209,19.2606,,17042.0
1988-02-14,,19.5209,19.2606,,17042.0
1988-02-15,,19.5209,19.2606,,17042.0
1988-02-16,,19.9123,19.5209,,16164.0
1988-02-17,,20.3017,20.1726,,30425.0
1988-02-18,,20.0414,19.7811,,10895.0
1988-02-19,,19.7811,19.2606,,9954.0
1988-02-20,,19.7811,19.2606,,9954.0
1988-02-21,,19.7811,19.2606,,9954.0
1988-02-22,,19.2606,19.0003,,13697.0
1988-02-23,,18.4797,18.3506,,32245.0
1988-02-24,,17.9592,17.5698,,16791.0
1988-02-25,,18.2195,17.9592,,17544.0
1988-02-26,,17.9592,17.6989,,8699.0
1988-02-27,,17.9592,17.6989,,8699.0
1988-02-28,,17.9592,17.6989,,8699.0
1988-02-29,,18.2195,18.0904,,15704.0
1988-03-01,,18.3506,17.9592,,12630.0
1988-03-02,,18.6109,18.3506,,11982.0
1988-03-03,,18.3506,17.9592,,2530.0
1988-03-04,,19.2606,19.0003,,5667.0
1988-03-05,,19.2606,19.0003,,5667.0
1988-03-06,,19.2606,19.0003,,5667.0
1988-03-07,,19.2606,19.0003,,8448.0
1988-03-08,,19.7811,19.5209,,10936.0
1988-03-09,,20.4329,20.0414,,13237.0
1988-03-10,,21.0825,20.562,,3388.0
1988-03-11,,20.3017,19.9123,,17189.0
1988-03-12,,20.3017,19.9123,,17189.0
1988-03-13,,20.3017,19.9123,,17189.0
1988-03-14,,20.0414,19.7811,,1150.0
1988-03-15,,20.0414,19.9123,,7695.0
1988-03-16,,20.0414,19.7811,,3994.0
1988-03-17,,19.3918,19.1315,,16311.0
1988-03-18,,19.3918,19.0003,,5249.0
1988-03-19,,19.3918,19.0003,,5249.0
1988-03-20,,19.3918,19.0003,,5249.0
1988-03-21,,20.3017,20.0414,,15432.0
1988-03-22,,20.1726,19.652,,5416.0
1988-03-23,,20.0414,19.7811,,6587.0
1988-03-24,,20.0414,19.7811,,11041.0
1988-03-25,,19.7811,19.5209,,7570.0
1988-03-26,,19.7811,19.5209,,7570.0
1988-03-27,,19.7811,19.5209,,7570.0
1988-03-28,,19.5209,19.3918,,6587.0
1988-03-29,,20.3017,19.9123,,14909.0
1988-03-30,,19.5209,19.3918,,15558.0
1988-03-31,,19.1315,18.74,,3952.0
1988-04-01,,19.1315,18.74,,3952.0
1988-04-02,,19.1315,18.74,,3952.0
1988-04-03,,19.1315,18.74,,3952.0
1988-04-04,,19.5209,19.0003,,1066.0
1988-04-05,,19.0003,18.4797,,2572.0
1988-04-06,,17.9592,17.6989,,18004.0
1988-04-07,,18.2195,17.8301,,12442.0
1988-04-08,,18.2195,18.0904,,9995.0
1988-04-09,,18.2195,18.0904,,9995.0
1988-04-10,,18.2195,18.0904,,9995.0
1988-04-11,,18.0904,17.6989,,8720.0
1988-04-12,,18.0904,17.8301,,14303.0
1988-04-13,,17.8301,17.5698,,8197.0
1988-04-14,,18.4797,17.9592,,9410.0
1988-04-15,,18.4797,18.2195,,7298.0
1988-04-16,,18.4797,18.2195,,7298.0
1988-04-17,,18.4797,18.2195,,7298.0
1988-04-18,,19.5209,19.0003,,20472.0
1988-04-19,,18.6109,18.3506,,15746.0
1988-04-20,,18.3506,18.0904,,7131.0
1988-04-21,,17.6989,17.3095,,10476.0
1988-04-22,,17.3095,16.789,,13007.0
1988-04-23,,17.3095,16.789,,13007.0
1988-04-24,,17.3095,16.789,,13007.0
1988-04-25,,17.3095,17.0493,,8281.0
1988-04-26,,17.8301,17.4386,,12379.0
1988-04-27,,18.2195,17.8301,,8093.0
1988-04-28,,17.6989,17.4386,,14199.0
1988-04-29,,17.9592,17.5698,,7444.0
1988-04-30,,17.9592,17.5698,,7444.0
1988-05-01,,17.9592,17.5698,,7444.0
1988-05-02,,17.4386,17.0493,,12233.0
1988-05-03,,17.0493,16.789,,2969.0
1988-05-04,,16.789,16.3975,,14178.0
1988-05-05,,17.1784,16.6578,,22312.0
1988-05-06,,16.9181,16.6578,,3116.0
1988-05-07,,16.9181,16.6578,,3116.0
1988-05-08,,16.9181,16.6578,,3116.0
1988-05-09,,17.1784,16.789,,8030.0
1988-05-10,,16.9181,16.789,,14679.0
1988-05-11,,16.5287,16.2684,,11062.0
1988-05-12,,16.6578,16.3975,,9556.0
1988-05-13,,17.1784,16.9181,,8929.0
1988-05-14,,17.1784,16.9181,,8929.0
1988-05-15,,17.1784,16.9181,,8929.0
1988-05-16,,17.0493,16.9181,,18297.0
1988-05-17,,17.0493,16.789,,3241.0
1988-05-18,,17.0493,16.6578,,14721.0
1988-05-19,,17.3095,17.1784,,22249.0
1988-05-20,,17.4386,17.0493,,17544.0
1988-05-21,,17.4386,17.0493,,17544.0
1988-05-22,,17.4386,17.0493,,17544.0
1988-05-23,,18.6109,18.3506,,25177.0
1988-05-24,,18.4797,18.2195,,21894.0
1988-05-25,,17.6989,17.4386,,18862.0
1988-05-26,,17.6989,17.5698,,10205.0
1988-05-27,,17.5698,17.4386,,9807.0
1988-05-28,,17.5698,17.4386,,9807.0
1988-05-29,,17.5698,17.4386,,9807.0
1988-05-30,,17.5698,17.4386,,9807.0
1988-05-31,,18.74,18.2195,,17753.0
1988-06-01,,18.3506,18.2195,,11752.0
1988-06-02,,19.1315,18.74,,25344.0
1988-06-03,,19.3918,19.2606,,13780.0
1988-06-04,,19.3918,19.2606,,13780.0
1988-06-05,,19.3918,19.2606,,13780.0
1988-06-06,,19.9123,19.7811,,17168.0
1988-06-07,,19.7811,19.5209,,13153.0
1988-06-08,,19.196,19.0649,,26787.0
1988-06-09,,19.2606,18.8712,,18464.0
1988-06-10,,18.4797,18.2195,,22354.0
1988-06-11,,18.4797,18.2195,,22354.0
1988-06-12,,18.4797,18.2195,,22354.0
1988-06-13,,18.4797,18.2195,,7883.0
1988-06-14,,18.2195,18.0904,,8469.0
1988-06-15,,18.2195,18.0904,,6252.0
1988-06-16,,17.8301,17.4386,,14700.0
1988-06-17,,17.9592,17.6989,,24570.0
1988-06-18,,17.9592,17.6989,,24570.0
1988-06-19,,17.9592,17.6989,,24570.0
1988-06-20,,17.1784,16.9181,,13592.0
1988-06-21,,17.4386,17.3095,,20074.0
1988-06-22,,16.9181,16.6578,,10267.0
1988-06-23,,16.9181,16.6578,,18443.0
1988-06-24,,16.3975,16.2684,,7737.0
1988-06-25,,16.3975,16.2684,,7737.0
1988-06-26,,16.3975,16.2684,,7737.0
1988-06-27,,16.2684,16.1372,,11292.0
1988-06-28,,16.1372,15.877,,15641.0
1988-06-29,,15.877,15.6167,,36427.0
1988-06-30,,16.0081,15.877,,13508.0
1988-07-01,,16.3975,16.1372,,12484.0
1988-07-02,,16.3975,16.1372,,12484.0
1988-07-03,,16.3975,16.1372,,12484.0
1988-07-04,,16.3975,16.1372,,12484.0
1988-07-05,,17.1784,16.789,,20974.0
1988-07-06,,17.8301,17.5698,,13592.0
1988-07-07,,18.2195,17.9592,,27372.0
1988-07-08,,17.9592,17.6989,,8929.0
1988-07-09,,17.9592,17.6989,,8929.0
1988-07-10,,17.9592,17.6989,,8929.0
1988-07-11,,18.2195,17.8301,,8176.0
1988-07-12,,18.2195,17.9592,,19259.0
1988-07-13,,18.4797,18.2195,,3869.0
1988-07-14,,18.3506,17.9592,,3199.0
1988-07-15,,18.2195,17.9592,,7800.0
1988-07-16,,18.2195,17.9592,,7800.0
1988-07-17,,18.2195,17.9592,,7800.0
1988-07-18,,17.9592,17.5698,,32475.0
1988-07-19,,18.6109,18.2195,,21664.0
1988-07-20,,18.4797,18.2195,,11919.0
1988-07-21,,18.0904,17.6989,,15725.0
1988-07-22,,17.6989,17.4386,,15579.0
1988-07-23,,17.6989,17.4386,,15579.0
1988-07-24,,17.6989,17.4386,,15579.0
1988-07-25,,17.5698,17.3095,,33541.0
1988-07-26,,17.6989,17.4386,,49266.0
1988-07-27,,17.6989,17.5698,,29882.0
1988-07-28,,17.3095,17.1784,,13697.0
1988-07-29,,17.3095,17.1784,,8908.0
1988-07-30,,17.3095,17.1784,,8908.0
1988-07-31,,17.3095,17.1784,,8908.0
1988-08-01,,16.789,16.6578,,38037.0
1988-08-02,,16.6578,16.3975,,21685.0
1988-08-03,,16.6578,16.3975,,7465.0
1988-08-04,,16.6578,16.3975,,3743.0
1988-08-05,,16.5287,16.1372,,10497.0
1988-08-06,,16.5287,16.1372,,10497.0
1988-08-07,,16.5287,16.1372,,10497.0
1988-08-08,,15.877,15.4876,,10142.0
1988-08-09,,15.4876,15.2273,,15495.0
1988-08-10,,15.2273,14.8359,,24759.0
1988-08-11,,15.3564,15.0961,,27686.0
1988-08-12,,15.6167,15.3564,,27121.0
1988-08-13,,15.6167,15.3564,,27121.0
1988-08-14,,15.6167,15.3564,,27121.0
1988-08-15,,15.6167,15.3564,,15955.0
1988-08-16,,15.3564,15.2273,,8093.0
1988-08-17,,15.2273,15.0961,,13132.0
1988-08-18,,15.6167,15.3564,,6273.0
1988-08-19,,15.6167,15.4876,,11166.0
1988-08-20,,15.6167,15.4876,,11166.0
1988-08-21,,15.6167,15.4876,,11166.0
1988-08-22,,15.4876,15.3564,,9473.0
1988-08-23,,15.6167,15.3564,,4266.0
1988-08-24,,16.0081,15.877,,17691.0
1988-08-25,,15.877,15.6167,,32914.0
1988-08-26,,15.3564,15.0961,,13237.0
1988-08-27,,15.3564,15.0961,,13237.0
1988-08-28,,15.3564,15.0961,,13237.0
1988-08-29,,15.3564,15.0961,,10163.0
1988-08-30,,14.8359,14.7068,,15411.0
1988-08-31,,14.8359,14.5756,,10832.0
1988-09-01,,14.7068,14.4465,,25009.0
1988-09-02,,14.3153,14.055,,14554.0
1988-09-03,,14.3153,14.055,,14554.0
1988-09-04,,14.3153,14.055,,14554.0
1988-09-05,,14.3153,14.055,,14554.0
1988-09-06,,13.7947,13.5345,,19280.0
1988-09-07,,13.7947,13.6656,,11585.0
1988-09-08,,13.9259,13.7947,,15809.0
1988-09-09,,13.6656,13.5345,,25344.0
1988-09-10,,13.6656,13.5345,,25344.0
1988-09-11,,13.6656,13.5345,,25344.0
1988-09-12,,12.8848,12.6245,,34796.0
1988-09-13,,13.0139,12.8848,,13299.0
1988-09-14,,13.0139,12.8848,,35758.0
1988-09-15,,12.7536,12.5579,,37912.0
1988-09-16,,12.2331,12.104,,32286.0
1988-09-17,,12.2331,12.104,,32286.0
1988-09-18,,12.2331,12.104,,32286.0
1988-09-19,,12.2331,12.0373,,24173.0
1988-09-20,,12.2331,11.9728,,32098.0
1988-09-21,,12.104,11.8437,,18193.0
1988-09-22,,12.2331,11.9728,,15495.0
1988-09-23,,12.2331,11.9728,,10100.0
1988-09-24,,12.2331,11.9728,,10100.0
1988-09-25,,12.2331,11.9728,,10100.0
1988-09-26,,12.8848,12.7536,,16457.0
1988-09-27,,13.0139,12.8848,,20995.0
1988-09-28,,13.4054,13.1451,,17670.0
1988-09-29,,13.1451,12.8848,,18025.0
1988-09-30,,13.2742,13.1451,,29087.0
1988-10-01,,13.2742,13.1451,,29087.0
1988-10-02,,13.2742,13.1451,,29087.0
1988-10-03,,13.5345,13.4054,,29380.0
1988-10-04,,13.5345,13.2742,,21371.0
1988-10-05,,13.6656,13.4054,,9243.0
1988-10-06,,13.7947,13.6656,,17523.0
1988-10-07,,14.055,13.7947,,8093.0
1988-10-08,,14.055,13.7947,,8093.0
1988-10-09,,14.055,13.7947,,8093.0
1988-10-10,,14.8359,14.4465,,16603.0
1988-10-11,,14.055,13.9259,,11543.0
1988-10-12,,14.1862,13.9259,,21099.0
1988-10-13,,14.3153,14.055,,4370.0
1988-10-14,,14.3153,14.055,,3116.0
1988-10-15,,14.3153,14.055,,3116.0
1988-10-16,,14.3153,14.055,,3116.0
1988-10-17,,14.5756,14.3153,,15579.0
1988-10-18,,14.4465,14.1862,,5437.0
1988-10-19,,14.1862,13.9259,,15119.0
1988-10-20,,14.1862,14.055,,2593.0
1988-10-21,,13.9259,13.6656,,3158.0
1988-10-22,,13.9259,13.6656,,3158.0
1988-10-23,,13.9259,13.6656,,3158.0
1988-10-24,,13.4054,13.0139,,11062.0
1988-10-25,,13.7947,13.6656,,14324.0
1988-10-26,,13.9259,13.6656,,12275.0
1988-10-27,,14.055,13.7947,,11083.0
1988-10-28,,14.1862,13.9905,,13028.0
1988-10-29,,14.1862,13.9905,,13028.0
1988-10-30,,14.1862,13.9905,,13028.0
1988-10-31,,14.3153,14.055,,10435.0
1988-11-01,,14.3153,14.055,,6984.0
1988-11-02,,15.2273,14.967,,19865.0
1988-11-03,,14.967,14.7068,,17398.0
1988-11-04,,14.5756,14.4465,,20493.0
1988-11-05,,14.5756,14.4465,,20493.0
1988-11-06,,14.5756,14.4465,,20493.0
1988-11-07,,14.7068,14.5756,,11794.0
1988-11-08,,14.8359,14.5756,,15140.0
1988-11-09,,15.4876,15.3564,,20806.0
1988-11-10,,15.2273,15.0961,,7214.0
1988-11-11,,15.4876,15.2273,,4224.0
1988-11-12,,15.4876,15.2273,,4224.0
1988-11-13,,15.4876,15.2273,,4224.0
1988-11-14,,15.3564,14.967,,13258.0
1988-11-15,,15.0961,14.8359,,5395.0
1988-11-16,,15.2273,14.967,,25846.0
1988-11-17,,15.0961,14.8359,,40839.0
1988-11-18,,14.7068,14.4465,,7904.0
1988-11-19,,14.7068,14.4465,,7904.0
1988-11-20,,14.7068,14.4465,,7904.0
1988-11-21,,14.4465,14.1862,,6252.0
1988-11-22,,14.3153,14.055,,25260.0
1988-11-23,,14.7068,14.5756,,20305.0
1988-11-24,,14.7068,14.5756,,20305.0
1988-11-25,,15.877,15.7479,,48639.0
1988-11-26,,15.877,15.7479,,48639.0
1988-11-27,,15.877,15.7479,,48639.0
1988-11-28,,16.0081,15.7479,,29526.0
1988-11-29,,15.4876,15.3564,,7946.0
1988-11-30,,15.3564,15.2273,,18046.0
1988-12-01,,15.3564,15.2273,,36573.0
1988-12-02,,16.1372,15.877,,11752.0
1988-12-03,,16.1372,15.877,,11752.0
1988-12-04,,16.1372,15.877,,11752.0
1988-12-05,,15.6167,15.4876,,14282.0
1988-12-06,,15.2273,15.0961,,2886.0
1988-12-07,,15.0961,14.8359,,1317.0
1988-12-08,,15.0961,14.8359,,1840.0
1988-12-09,,14.967,14.7068,,8176.0
1988-12-10,,14.967,14.7068,,8176.0
1988-12-11,,14.967,14.7068,,8176.0
1988-12-12,,14.6401,14.4465,,7068.0
1988-12-13,,14.5756,14.3153,,7528.0
1988-12-14,,14.4465,14.1862,,12233.0
1988-12-15,,13.6656,13.4054,,20409.0
1988-12-16,,14.055,13.7947,,16331.0
1988-12-17,,14.055,13.7947,,16331.0
1988-12-18,,14.055,13.7947,,16331.0
1988-12-19,,13.9259,13.6656,,6587.0
1988-12-20,,13.7947,13.5345,,8155.0
1988-12-21,,13.9259,13.6656,,5751.0
1988-12-22,,13.9259,13.7947,,3388.0
1988-12-23,,14.1862,13.9259,,8093.0
1988-12-24,,14.1862,13.9259,,8093.0
1988-12-25,,14.1862,13.9259,,8093.0
1988-12-26,,14.1862,13.9259,,8093.0
1988-12-27,,14.4465,14.1862,,14763.0
1988-12-28,,14.1862,13.9259,,13174.0
1988-12-29,,14.055,13.9259,,9870.0
1988-12-30,,14.1862,13.9259,,19949.0
1988-12-31,,14.1862,13.9259,,19949.0
1989-01-01,,14.1862,13.9259,,19949.0
1989-01-02,,14.1862,13.9259,,19949.0
1989-01-03,,14.3153,14.1862,,4872.0
1989-01-04,,14.055,13.7947,,61896.0
1989-01-05,,14.1862,13.9259,,8469.0
1989-01-06,,13.6656,13.5345,,45983.0
1989-01-07,,13.6656,13.5345,,45983.0
1989-01-08,,13.6656,13.5345,,45983.0
1989-01-09,,13.6656,13.5345,,27080.0
1989-01-10,,13.7947,13.6656,,8197.0
1989-01-11,,14.1862,13.9259,,6357.0
1989-01-12,,14.5756,14.1862,,29003.0
1989-01-13,,14.1862,14.055,,6608.0
1989-01-14,,14.1862,14.055,,6608.0
1989-01-15,,14.1862,14.055,,6608.0
1989-01-16,,14.3153,14.1862,,10874.0
1989-01-17,,14.4465,14.3153,,32872.0
1989-01-18,,14.3153,14.1862,,19029.0
1989-01-19,,14.8359,14.5756,,38999.0
1989-01-20,,15.7479,15.4876,,55330.0
1989-01-21,,15.7479,15.4876,,55330.0
1989-01-22,,15.7479,15.4876,,55330.0
1989-01-23,,15.877,15.6167,,27268.0
1989-01-24,,16.1372,16.0081,,6001.0
1989-01-25,,16.2684,16.0081,,28292.0
1989-01-26,,16.1372,15.877,,13153.0
1989-01-27,,15.2273,15.1607,,30321.0
1989-01-28,,15.2273,15.1607,,30321.0
1989-01-29,,15.2273,15.1607,,30321.0
1989-01-30,,15.2273,15.0961,,27351.0
1989-01-31,,15.0961,14.967,,33353.0
1989-02-01,,15.0961,15.0316,,13028.0
1989-02-02,,15.2273,15.0961,,1380.0
1989-02-03,,15.2273,15.0961,,13341.0
1989-02-04,,15.2273,15.0961,,13341.0
1989-02-05,,15.2273,15.0961,,13341.0
1989-02-06,,14.5756,14.3153,,57296.0
1989-02-07,,14.7068,14.5756,,23797.0
1989-02-08,,15.4876,15.2273,,40693.0
1989-02-09,,15.2273,15.0961,,15140.0
1989-02-10,,14.8359,14.7068,,12066.0
1989-02-11,,14.8359,14.7068,,12066.0
1989-02-12,,14.8359,14.7068,,12066.0
1989-02-13,,15.0961,14.967,,14282.0
1989-02-14,,15.0961,14.8359,,20284.0
1989-02-15,,14.7713,14.6401,,25783.0
1989-02-16,,14.8359,14.5756,,10016.0
1989-02-17,,14.7068,14.6401,,13864.0
1989-02-18,,14.7068,14.6401,,13864.0
1989-02-19,,14.7068,14.6401,,13864.0
1989-02-20,,14.7068,14.6401,,13864.0
1989-02-21,,14.967,14.8359,,24570.0
1989-02-22,,15.0316,14.967,,9598.0
1989-02-23,,15.6167,15.4876,,35402.0
1989-02-24,,15.6167,15.4876,,11522.0
1989-02-25,,15.6167,15.4876,,11522.0
1989-02-26,,15.6167,15.4876,,11522.0
1989-02-27,,15.7479,15.6167,,9452.0
1989-02-28,,15.7479,15.6167,,2007.0
1989-03-01,,15.4876,15.2273,,5730.0
1989-03-02,,15.3564,15.2273,,5646.0
1989-03-03,,15.6167,15.4876,,5395.0
1989-03-04,,15.6167,15.4876,,5395.0
1989-03-05,,15.6167,15.4876,,5395.0
1989-03-06,,15.877,15.6167,,3262.0
1989-03-07,,16.2684,16.0081,,13655.0
1989-03-08,,16.3975,16.2684,,13718.0
1989-03-09,,17.0493,16.9181,,18632.0
1989-03-10,,17.4386,17.3095,,35569.0
1989-03-11,,17.4386,17.3095,,35569.0
1989-03-12,,17.4386,17.3095,,35569.0
1989-03-13,,17.1784,17.0493,,10455.0
1989-03-14,,17.4386,17.3095,,4057.0
1989-03-15,,17.3095,17.0493,,10142.0
1989-03-16,,16.9181,16.6578,,16771.0
1989-03-17,,17.1138,16.9181,,25741.0
1989-03-18,,17.1138,16.9181,,25741.0
1989-03-19,,17.1138,16.9181,,25741.0
