,BPOP US Equity,BPOP US Equity,BPOP US Equity,BPOP US Equity,BPOP US Equity
1995-02-10,19.5005,19.663,19.5005,19.5005,5040.0
1995-02-11,19.5005,19.663,19.5005,19.5005,5040.0
1995-02-12,19.5005,19.663,19.5005,19.5005,5040.0
1995-02-13,19.663,19.663,19.5005,19.5005,13600.0
1995-02-14,19.5005,19.663,19.5005,19.663,5520.0
1995-02-15,19.5818,19.663,19.5005,19.5005,22240.0
1995-02-16,19.4193,19.663,19.4193,19.4193,39520.0
1995-02-17,19.4193,19.663,19.4193,19.4193,77360.0
1995-02-18,19.4193,19.663,19.4193,19.4193,77360.0
1995-02-19,19.4193,19.663,19.4193,19.4193,77360.0
1995-02-20,19.4193,19.663,19.4193,19.4193,77360.0
1995-02-21,19.5005,19.7443,19.4193,19.4193,89760.0
1995-02-22,19.663,19.663,19.4193,19.5005,4080.0
1995-02-23,19.663,19.7443,19.5818,19.5818,24320.0
1995-02-24,19.663,19.663,19.5005,19.5818,73120.0
1995-02-25,19.663,19.663,19.5005,19.5818,73120.0
1995-02-26,19.663,19.663,19.5005,19.5818,73120.0
1995-02-27,19.663,19.663,19.5005,19.5818,17680.0
1995-02-28,19.5818,19.8255,19.5005,19.663,12960.0
1995-03-01,19.663,19.9068,19.663,19.8255,4000.0
1995-03-02,20.0693,20.1505,19.9068,19.988,9920.0
1995-03-03,20.1505,20.1505,19.9068,20.1505,3920.0
1995-03-04,20.1505,20.1505,19.9068,20.1505,3920.0
1995-03-05,20.1505,20.1505,19.9068,20.1505,3920.0
1995-03-06,19.9068,19.9068,19.9068,19.9068,3760.0
1995-03-07,20.1505,20.1505,19.9068,19.988,15520.0
1995-03-08,20.1505,20.1505,19.9068,19.9068,14160.0
1995-03-09,20.1505,20.1505,19.9068,20.0693,5760.0
1995-03-10,20.1505,20.1505,19.9068,19.9474,1200.0
1995-03-11,20.1505,20.1505,19.9068,19.9474,1200.0
1995-03-12,20.1505,20.1505,19.9068,19.9474,1200.0
1995-03-13,20.1932,20.316,20.0703,20.0703,6160.0
1995-03-14,20.316,20.316,20.1522,20.2341,7920.0
1995-03-15,20.1522,20.4799,20.1522,20.316,14080.0
1995-03-16,20.4799,20.4799,20.316,20.398,9840.0
1995-03-17,20.5208,20.5208,20.5208,20.5208,160.0
1995-03-18,20.5208,20.5208,20.5208,20.5208,160.0
1995-03-19,20.5208,20.5208,20.5208,20.5208,160.0
1995-03-20,20.398,20.5618,20.316,20.316,10000.0
1995-03-21,20.5618,20.5618,20.316,20.357,1680.0
1995-03-22,20.316,20.4799,20.316,20.4799,12480.0
1995-03-23,20.398,20.4799,20.316,20.4799,6960.0
1995-03-24,20.5618,20.5618,20.316,20.316,56880.0
1995-03-25,20.5618,20.5618,20.316,20.316,56880.0
1995-03-26,20.5618,20.5618,20.316,20.316,56880.0
1995-03-27,20.316,20.6437,20.316,20.6437,1840.0
1995-03-28,20.316,20.6437,20.316,20.4799,1760.0
1995-03-29,20.6437,20.7256,20.4799,20.4799,13440.0
1995-03-30,20.4799,20.8076,20.4799,20.8076,2000.0
1995-03-31,20.5618,20.8076,20.4799,20.6437,13040.0
1995-04-01,20.5618,20.8076,20.4799,20.6437,13040.0
1995-04-02,20.5618,20.8076,20.4799,20.6437,13040.0
1995-04-03,20.4799,20.6437,20.4799,20.4799,26000.0
1995-04-04,20.6437,20.6437,20.4799,20.6437,44640.0
1995-04-05,20.4799,20.7256,20.4799,20.5618,12400.0
1995-04-06,20.4799,20.6437,20.4799,20.5618,6960.0
1995-04-07,20.8076,20.8076,20.4799,20.7256,8880.0
1995-04-08,20.8076,20.8076,20.4799,20.7256,8880.0
1995-04-09,20.8076,20.8076,20.4799,20.7256,8880.0
1995-04-10,20.4799,21.0533,20.4799,21.0533,181760.0
1995-04-11,20.9714,21.0533,20.8895,20.9714,124080.0
1995-04-12,21.0533,21.0533,20.8895,20.8895,1760.0
1995-04-13,21.0533,21.0533,20.8076,20.9304,14640.0
1995-04-14,21.0533,21.0533,20.8076,20.9304,14640.0
1995-04-15,21.0533,21.0533,20.8076,20.9304,14640.0
1995-04-16,21.0533,21.0533,20.8076,20.9304,14640.0
1995-04-17,20.8076,21.0533,20.8076,21.0533,4800.0
1995-04-18,20.8076,21.0533,20.8076,20.8076,1360.0
1995-04-19,21.0533,21.0533,20.8076,20.8076,4720.0
1995-04-20,20.8076,20.91,20.8076,20.8895,5760.0
1995-04-21,21.0533,21.1352,20.8076,20.9714,28560.0
1995-04-22,21.0533,21.1352,20.8076,20.9714,28560.0
1995-04-23,21.0533,21.1352,20.8076,20.9714,28560.0
1995-04-24,21.1352,21.2172,20.9714,21.0533,5040.0
1995-04-25,21.2172,21.2172,20.9714,21.1352,3360.0
1995-04-26,21.2172,21.2172,20.9714,20.9714,3840.0
1995-04-27,21.2172,21.2991,20.9714,21.2172,10480.0
1995-04-28,21.0533,21.2991,21.0533,21.1762,12960.0
1995-04-29,21.0533,21.2991,21.0533,21.1762,12960.0
1995-04-30,21.0533,21.2991,21.0533,21.1762,12960.0
1995-05-01,21.0533,21.2991,21.0533,21.2991,156240.0
1995-05-02,21.1352,21.1352,21.0533,21.1352,3520.0
1995-05-03,21.1352,21.2172,21.1352,21.1352,3840.0
1995-05-04,21.2991,21.381,21.2172,21.381,5360.0
1995-05-05,21.2991,21.381,21.2172,21.381,15120.0
1995-05-06,21.2991,21.381,21.2172,21.381,15120.0
1995-05-07,21.2991,21.381,21.2172,21.381,15120.0
1995-05-08,21.2991,21.34,21.2172,21.2991,12160.0
1995-05-09,21.4629,22.0364,21.4629,22.0364,46480.0
1995-05-10,22.1183,22.2002,21.9544,22.2002,9440.0
1995-05-11,21.9544,22.1183,21.8725,21.9544,11600.0
1995-05-12,21.9544,21.9544,21.7906,21.9544,11440.0
1995-05-13,21.9544,21.9544,21.7906,21.9544,11440.0
1995-05-14,21.9544,21.9544,21.7906,21.9544,11440.0
1995-05-15,21.9544,22.0364,21.7906,22.0364,26400.0
1995-05-16,21.8725,22.1183,21.8725,21.8725,16080.0
1995-05-17,21.9544,21.9544,21.7906,21.8725,28000.0
1995-05-18,21.7906,21.8316,21.7906,21.8316,4720.0
1995-05-19,21.7906,21.7906,21.7906,21.7906,2640.0
1995-05-20,21.7906,21.7906,21.7906,21.7906,2640.0
1995-05-21,21.7906,21.7906,21.7906,21.7906,2640.0
1995-05-22,21.7906,21.8316,21.7906,21.7906,2000.0
1995-05-23,21.8725,21.9544,21.7906,21.7906,4480.0
1995-05-24,21.9544,22.4459,21.9544,22.4459,45120.0
1995-05-25,22.2821,22.5279,22.2821,22.5279,2960.0
1995-05-26,22.3231,22.3231,22.2821,22.2821,1680.0
1995-05-27,22.3231,22.3231,22.2821,22.2821,1680.0
1995-05-28,22.3231,22.3231,22.2821,22.2821,1680.0
1995-05-29,22.3231,22.3231,22.2821,22.2821,1680.0
1995-05-30,22.5279,22.5279,22.2821,22.364,1920.0
1995-05-31,22.364,22.6917,22.2821,22.6917,21040.0
1995-06-01,22.6917,22.8555,22.6098,22.7736,18320.0
1995-06-02,22.8555,22.8555,22.6917,22.7736,6480.0
1995-06-03,22.8555,22.8555,22.6917,22.7736,6480.0
1995-06-04,22.8555,22.8555,22.6917,22.7736,6480.0
1995-06-05,22.8555,22.8555,22.6917,22.7736,3680.0
1995-06-06,22.7736,22.8555,22.6098,22.7736,20480.0
1995-06-07,22.6917,22.9375,22.6917,22.9375,880.0
1995-06-08,22.6098,22.9375,22.6098,22.7736,10560.0
1995-06-09,22.6098,22.6917,22.4459,22.5279,17520.0
1995-06-10,22.6098,22.6917,22.4459,22.5279,17520.0
1995-06-11,22.6098,22.6917,22.4459,22.5279,17520.0
1995-06-12,22.5279,22.5279,22.2821,22.5279,2160.0
1995-06-13,22.2821,22.5279,22.2821,22.4459,8640.0
1995-06-14,22.5616,22.7269,22.479,22.5616,24720.0
1995-06-15,22.6443,22.8922,22.6443,22.8096,7840.0
1995-06-16,22.8096,22.8922,22.7269,22.8096,7760.0
1995-06-17,22.8096,22.8922,22.7269,22.8096,7760.0
1995-06-18,22.8096,22.8922,22.7269,22.8096,7760.0
1995-06-19,22.9749,23.0575,22.8922,22.9749,16800.0
1995-06-20,22.9749,23.3054,22.9749,23.2228,37280.0
1995-06-21,23.3881,23.3881,23.2228,23.2228,57680.0
1995-06-22,23.3881,23.3881,23.2228,23.3468,29680.0
1995-06-23,23.3881,23.4707,23.3054,23.4707,5600.0
1995-06-24,23.3881,23.4707,23.3054,23.4707,5600.0
1995-06-25,23.3881,23.4707,23.3054,23.4707,5600.0
1995-06-26,23.2228,23.4707,23.2228,23.2228,7280.0
1995-06-27,23.2228,23.4707,23.2228,23.2228,36320.0
1995-06-28,23.3054,23.4707,23.1402,23.2228,42640.0
1995-06-29,23.3054,23.3468,23.2228,23.2228,1040.0
1995-06-30,23.3054,23.5534,23.3054,23.4707,152480.0
1995-07-01,23.3054,23.5534,23.3054,23.4707,152480.0
1995-07-02,23.3054,23.5534,23.3054,23.4707,152480.0
1995-07-03,23.636,23.636,23.5534,23.636,4720.0
1995-07-04,23.636,23.636,23.5534,23.636,4720.0
1995-07-05,23.636,23.8013,23.4707,23.636,5840.0
1995-07-06,23.8013,23.9666,23.636,23.8013,41760.0
1995-07-07,23.7187,23.8013,23.7187,23.8013,960.0
1995-07-08,23.7187,23.8013,23.7187,23.8013,960.0
1995-07-09,23.7187,23.8013,23.7187,23.8013,960.0
1995-07-10,23.8839,24.0492,23.7187,23.8013,27040.0
1995-07-11,23.8839,23.8839,23.636,23.8013,7920.0
1995-07-12,23.8013,23.8013,23.636,23.636,2080.0
1995-07-13,23.5534,23.7187,23.4707,23.512,10240.0
1995-07-14,23.5534,23.636,23.3881,23.5947,70320.0
1995-07-15,23.5534,23.636,23.3881,23.5947,70320.0
1995-07-16,23.5534,23.636,23.3881,23.5947,70320.0
1995-07-17,23.636,23.8013,23.4707,23.7187,13200.0
1995-07-18,23.7187,23.7187,23.4707,23.4707,11760.0
1995-07-19,23.4707,23.636,23.4707,23.636,13600.0
1995-07-20,23.4707,23.7187,23.4707,23.4707,18560.0
1995-07-21,23.4707,23.636,23.4707,23.4707,9280.0
1995-07-22,23.4707,23.636,23.4707,23.4707,9280.0
1995-07-23,23.4707,23.636,23.4707,23.4707,9280.0
1995-07-24,23.636,23.636,23.4707,23.4707,3520.0
1995-07-25,23.8013,23.9666,23.7187,23.9666,41520.0
1995-07-26,23.8013,23.9666,23.8013,23.8839,23280.0
1995-07-27,23.8839,23.9666,23.8426,23.8839,25680.0
1995-07-28,23.9666,23.9666,23.8013,23.8013,19280.0
1995-07-29,23.9666,23.9666,23.8013,23.8013,19280.0
1995-07-30,23.9666,23.9666,23.8013,23.8013,19280.0
1995-07-31,23.8013,23.9666,23.8013,23.8013,3760.0
1995-08-01,23.8013,23.8839,23.8013,23.8839,4240.0
1995-08-02,23.8839,23.8839,23.8839,23.8839,2400.0
1995-08-03,23.8013,23.8839,23.7187,23.8013,4240.0
1995-08-04,23.8839,23.8839,23.7187,23.7187,2800.0
1995-08-05,23.8839,23.8839,23.7187,23.7187,2800.0
1995-08-06,23.8839,23.8839,23.7187,23.7187,2800.0
1995-08-07,23.7187,23.9666,23.7187,23.8013,4000.0
1995-08-08,23.8013,23.9666,23.8013,23.8013,1600.0
1995-08-09,23.9666,24.0492,23.8013,23.8013,16160.0
1995-08-10,23.8013,23.8839,23.8013,23.8839,10880.0
1995-08-11,23.9666,23.9666,23.8013,23.8013,1440.0
1995-08-12,23.9666,23.9666,23.8013,23.8013,1440.0
1995-08-13,23.9666,23.9666,23.8013,23.8013,1440.0
1995-08-14,23.8013,23.8839,23.636,23.8013,71280.0
1995-08-15,23.636,23.8013,23.636,23.636,14560.0
1995-08-16,23.8839,23.8839,23.636,23.636,800.0
1995-08-17,23.8839,23.9666,23.8426,23.8426,5600.0
1995-08-18,23.7187,23.8013,23.7187,23.8013,9520.0
1995-08-19,23.7187,23.8013,23.7187,23.8013,9520.0
1995-08-20,23.7187,23.8013,23.7187,23.8013,9520.0
1995-08-21,23.7187,23.8013,23.7187,23.8013,9520.0
1995-08-22,23.7187,23.8013,23.7187,23.8013,400.0
1995-08-23,23.7187,23.8013,23.7187,23.8013,2400.0
1995-08-24,23.8839,23.9666,23.7187,23.8839,3040.0
1995-08-25,24.0492,24.0492,23.7187,23.7187,5360.0
1995-08-26,24.0492,24.0492,23.7187,23.7187,5360.0
1995-08-27,24.0492,24.0492,23.7187,23.7187,5360.0
1995-08-28,23.8839,23.9666,23.8839,23.8839,4800.0
1995-08-29,23.9666,24.1319,23.9666,24.0492,9360.0
1995-08-30,24.1319,24.2972,23.9666,23.9666,8400.0
1995-08-31,24.2972,24.7104,24.2972,24.5451,39120.0
1995-09-01,24.6277,24.9583,24.6277,24.9583,23760.0
1995-09-02,24.6277,24.9583,24.6277,24.9583,23760.0
1995-09-03,24.6277,24.9583,24.6277,24.9583,23760.0
1995-09-04,24.6277,24.9583,24.6277,24.9583,23760.0
1995-09-05,25.0409,25.2889,24.9583,25.1236,46880.0
1995-09-06,25.2889,25.3715,25.1236,25.3715,4400.0
1995-09-07,25.4542,25.4542,25.4542,25.4542,8160.0
1995-09-08,25.4542,25.4542,25.2889,25.2889,9200.0
1995-09-09,25.4542,25.4542,25.2889,25.2889,9200.0
1995-09-10,25.4542,25.4542,25.2889,25.2889,9200.0
1995-09-11,25.2889,25.4542,25.2889,25.2889,720.0
1995-09-12,25.2889,25.4542,25.2889,25.4542,2320.0
1995-09-13,25.5708,25.8206,25.5708,25.5708,21840.0
1995-09-14,25.5708,25.8206,25.5708,25.5708,10480.0
1995-09-15,25.5708,25.8206,25.5708,25.7374,26880.0
1995-09-16,25.5708,25.8206,25.5708,25.7374,26880.0
1995-09-17,25.5708,25.8206,25.5708,25.7374,26880.0
1995-09-18,25.8206,25.8206,25.5708,25.6957,11760.0
1995-09-19,25.8206,25.9039,25.5708,25.6541,33760.0
1995-09-20,25.6541,25.9039,25.6541,25.9039,8960.0
1995-09-21,25.7374,25.9872,25.7374,25.7374,7360.0
1995-09-22,25.9039,25.9872,25.7374,25.9872,9040.0
1995-09-23,25.9039,25.9872,25.7374,25.9872,9040.0
1995-09-24,25.9039,25.9872,25.7374,25.9872,9040.0
1995-09-25,25.8623,25.8623,25.8623,25.8623,960.0
1995-09-26,25.9039,25.9872,25.9039,25.9039,1520.0
1995-09-27,25.8206,25.9872,25.8206,25.8206,14880.0
1995-09-28,25.9872,25.9872,25.8206,25.8206,7120.0
1995-09-29,25.8206,25.9872,25.8206,25.8206,14240.0
1995-09-30,25.8206,25.9872,25.8206,25.8206,14240.0
1995-10-01,25.8206,25.9872,25.8206,25.8206,14240.0
1995-10-02,25.9872,25.9872,25.8206,25.8206,30880.0
1995-10-03,25.9872,25.9872,25.4042,25.6541,69520.0
1995-10-04,25.7374,25.7374,25.3209,25.4458,27520.0
1995-10-05,25.3209,25.5708,25.3209,25.5708,3280.0
1995-10-06,25.4875,25.5708,25.4875,25.5708,1760.0
1995-10-07,25.4875,25.5708,25.4875,25.5708,1760.0
1995-10-08,25.4875,25.5708,25.4875,25.5708,1760.0
1995-10-09,25.5708,25.6541,25.4042,25.6541,33200.0
1995-10-10,25.4875,25.5708,25.4875,25.5708,24160.0
1995-10-11,25.7374,25.9872,25.6541,25.9872,8800.0
1995-10-12,25.9872,25.9872,25.9039,25.9872,6880.0
1995-10-13,25.9872,26.2371,25.9872,26.1538,14480.0
1995-10-14,25.9872,26.2371,25.9872,26.1538,14480.0
1995-10-15,25.9872,26.2371,25.9872,26.1538,14480.0
1995-10-16,26.2371,26.3204,26.2371,26.3204,17040.0
1995-10-17,26.3204,26.5703,26.2371,26.487,37440.0
1995-10-18,26.487,26.5703,26.487,26.487,13360.0
1995-10-19,26.487,26.5703,26.3204,26.5703,9280.0
1995-10-20,26.487,26.487,26.3204,26.487,2160.0
1995-10-21,26.487,26.487,26.3204,26.487,2160.0
1995-10-22,26.487,26.487,26.3204,26.487,2160.0
1995-10-23,26.5703,26.5703,26.3204,26.3204,1840.0
1995-10-24,26.4453,26.487,26.4453,26.487,3040.0
1995-10-25,26.5703,26.5703,26.0705,26.0705,16800.0
1995-10-26,26.1538,26.2371,25.9872,26.2371,3200.0
1995-10-27,25.9872,26.1538,25.9872,26.0705,9440.0
1995-10-28,25.9872,26.1538,25.9872,26.0705,9440.0
1995-10-29,25.9872,26.1538,25.9872,26.0705,9440.0
1995-10-30,25.9039,25.9039,25.6541,25.8206,38960.0
1995-10-31,25.6541,25.8206,25.6541,25.7374,14240.0
1995-11-01,25.8206,25.8206,25.6541,25.6541,19920.0
1995-11-02,25.7374,25.7374,25.5708,25.6957,44080.0
1995-11-03,25.5708,25.7374,25.5708,25.6541,7360.0
1995-11-04,25.5708,25.7374,25.5708,25.6541,7360.0
1995-11-05,25.5708,25.7374,25.5708,25.6541,7360.0
1995-11-06,25.5708,25.7374,25.5708,25.6541,6880.0
1995-11-07,25.6541,25.7374,25.5708,25.5708,18320.0
1995-11-08,25.6541,25.6541,25.6541,25.6541,160.0
1995-11-09,25.5708,25.7374,25.5708,25.7374,2560.0
1995-11-10,25.5708,25.7374,25.5708,25.6541,4000.0
1995-11-11,25.5708,25.7374,25.5708,25.6541,4000.0
1995-11-12,25.5708,25.7374,25.5708,25.6541,4000.0
1995-11-13,25.5708,25.7374,25.5708,25.7374,7040.0
1995-11-14,25.5708,25.7374,25.5708,25.7374,8880.0
1995-11-15,25.5708,25.6541,25.5708,25.5708,24160.0
1995-11-16,25.5708,25.7374,25.4875,25.7374,65920.0
1995-11-17,25.4875,25.5708,25.4875,25.4875,5840.0
1995-11-18,25.4875,25.5708,25.4875,25.4875,5840.0
1995-11-19,25.4875,25.5708,25.4875,25.4875,5840.0
1995-11-20,25.4875,25.5708,25.4042,25.4875,19280.0
1995-11-21,25.5708,25.5708,25.4042,25.5708,10000.0
1995-11-22,25.5708,25.5708,25.4042,25.4042,12000.0
1995-11-23,25.5708,25.5708,25.4042,25.4042,12000.0
1995-11-24,25.5708,25.5708,25.5708,25.5708,80.0
1995-11-25,25.5708,25.5708,25.5708,25.5708,80.0
1995-11-26,25.5708,25.5708,25.5708,25.5708,80.0
1995-11-27,25.4042,25.4875,25.4042,25.4875,1760.0
1995-11-28,25.4875,25.5708,25.4875,25.5708,3840.0
1995-11-29,25.6541,25.6541,25.4042,25.6541,7680.0
1995-11-30,25.5708,25.5708,25.4042,25.4875,3840.0
1995-12-01,25.7374,25.7374,25.4875,25.4875,2720.0
1995-12-02,25.7374,25.7374,25.4875,25.4875,2720.0
1995-12-03,25.7374,25.7374,25.4875,25.4875,2720.0
1995-12-04,25.4875,25.8206,25.4875,25.6541,58320.0
1995-12-05,25.6541,26.1538,25.6541,26.1538,38320.0
1995-12-06,26.0705,26.1538,25.9872,26.0705,21840.0
1995-12-07,26.1538,26.1538,25.9872,25.9872,1920.0
1995-12-08,25.9872,26.1538,25.9872,26.0705,2000.0
1995-12-09,25.9872,26.1538,25.9872,26.0705,2000.0
1995-12-10,25.9872,26.1538,25.9872,26.0705,2000.0
1995-12-11,26.0705,26.1538,25.9872,26.0705,1440.0
1995-12-12,26.0705,26.0705,25.9872,25.9872,640.0
1995-12-13,26.1887,26.5244,26.1887,26.5244,16240.0
1995-12-14,26.5244,26.5244,26.3566,26.3566,8240.0
1995-12-15,26.3566,26.5244,26.3566,26.5244,4000.0
1995-12-16,26.3566,26.5244,26.3566,26.5244,4000.0
1995-12-17,26.3566,26.5244,26.3566,26.5244,4000.0
1995-12-18,26.3566,26.4405,26.1887,26.4405,16880.0
1995-12-19,26.1047,26.2726,26.1047,26.2306,10320.0
1995-12-20,26.3566,26.3566,26.1047,26.1887,31760.0
1995-12-21,26.1887,26.1887,26.1047,26.1047,2000.0
1995-12-22,26.1047,26.2726,26.1047,26.2726,3040.0
1995-12-23,26.1047,26.2726,26.1047,26.2726,3040.0
1995-12-24,26.1047,26.2726,26.1047,26.2726,3040.0
1995-12-25,26.1047,26.2726,26.1047,26.2726,3040.0
1995-12-26,26.2726,26.2726,26.2726,26.2726,1040.0
1995-12-27,26.1047,26.2726,26.0208,26.1887,36400.0
1995-12-28,26.0208,26.2726,26.0208,26.2726,3520.0
1995-12-29,26.2726,26.2726,26.0208,26.0208,2880.0
1995-12-30,26.2726,26.2726,26.0208,26.0208,2880.0
1995-12-31,26.2726,26.2726,26.0208,26.0208,2880.0
1996-01-01,26.2726,26.2726,26.0208,26.0208,2880.0
1996-01-02,26.0208,26.2726,26.0208,26.1467,9760.0
1996-01-03,26.2726,26.2726,26.0208,26.1047,16480.0
1996-01-04,26.2726,26.2726,26.0208,26.0208,2640.0
1996-01-05,26.1047,26.2726,26.0208,26.0208,9840.0
1996-01-06,26.1047,26.2726,26.0208,26.0208,9840.0
1996-01-07,26.1047,26.2726,26.0208,26.0208,9840.0
1996-01-08,26.1047,26.2726,26.0208,26.0208,9840.0
1996-01-09,26.2726,26.2726,26.0208,26.0208,4800.0
1996-01-10,26.1047,26.1887,25.8529,26.1887,3760.0
1996-01-11,26.1887,26.1887,26.0208,26.0208,1120.0
1996-01-12,26.1047,26.1887,26.1047,26.1047,12400.0
1996-01-13,26.1047,26.1887,26.1047,26.1047,12400.0
1996-01-14,26.1047,26.1887,26.1047,26.1047,12400.0
1996-01-15,26.0418,26.1467,26.0418,26.1467,2400.0
1996-01-16,26.1887,26.1887,26.0208,26.1047,3360.0
1996-01-17,26.0208,26.3566,26.0208,26.1047,13760.0
1996-01-18,26.3566,26.3566,26.1677,26.2306,30000.0
1996-01-19,26.1047,26.5244,26.1047,26.5244,24240.0
1996-01-20,26.1047,26.5244,26.1047,26.5244,24240.0
1996-01-21,26.1047,26.5244,26.1047,26.5244,24240.0
1996-01-22,26.5244,26.6084,26.3566,26.5244,4320.0
1996-01-23,26.6084,26.6923,26.3566,26.6084,6480.0
1996-01-24,26.6084,26.6923,26.5244,26.6084,79440.0
1996-01-25,26.6503,26.6503,26.6503,26.6503,10560.0
1996-01-26,26.6084,26.6923,26.6084,26.6923,3360.0
1996-01-27,26.6084,26.6923,26.6084,26.6923,3360.0
1996-01-28,26.6084,26.6923,26.6084,26.6923,3360.0
1996-01-29,26.6084,26.8602,26.6084,26.8602,3520.0
1996-01-30,26.9441,27.112,26.8602,27.0281,12960.0
1996-01-31,27.2799,27.4477,27.1959,27.4477,33840.0
1996-02-01,27.1959,27.4477,27.1959,27.3638,5920.0
1996-02-02,27.1959,27.4477,27.1959,27.4477,11120.0
1996-02-03,27.1959,27.4477,27.1959,27.4477,11120.0
1996-02-04,27.1959,27.4477,27.1959,27.4477,11120.0
1996-02-05,27.2799,27.4477,27.1959,27.4477,7600.0
1996-02-06,27.2799,27.4477,27.2799,27.4477,19280.0
1996-02-07,27.1959,27.4477,27.1959,27.3638,17440.0
1996-02-08,27.4477,27.4477,27.1959,27.4477,13200.0
1996-02-09,27.4477,27.7835,27.3638,27.6996,42800.0
1996-02-10,27.4477,27.7835,27.3638,27.6996,42800.0
1996-02-11,27.4477,27.7835,27.3638,27.6996,42800.0
1996-02-12,27.8674,28.1193,27.6996,28.0353,39360.0
1996-02-13,28.2032,28.2032,27.8674,28.2032,13600.0
1996-02-14,28.0353,28.7068,27.9514,28.7068,50640.0
1996-02-15,28.6229,28.7068,28.455,28.455,25200.0
1996-02-16,28.6229,28.6229,28.455,28.5389,2320.0
1996-02-17,28.6229,28.6229,28.455,28.5389,2320.0
1996-02-18,28.6229,28.6229,28.455,28.5389,2320.0
1996-02-19,28.6229,28.6229,28.455,28.5389,2320.0
1996-02-20,28.6229,28.7068,28.5389,28.5389,18880.0
1996-02-21,28.5809,28.7068,28.5389,28.5389,3040.0
1996-02-22,28.7068,28.7068,28.455,28.7068,13280.0
1996-02-23,28.5389,28.8747,28.5389,28.7908,22480.0
1996-02-24,28.5389,28.8747,28.5389,28.7908,22480.0
1996-02-25,28.5389,28.8747,28.5389,28.7908,22480.0
1996-02-26,28.8747,28.9586,28.7068,28.9586,18240.0
1996-02-27,28.9586,29.2104,28.9586,29.2104,15200.0
1996-02-28,29.2944,29.6301,29.2104,29.4623,14960.0
1996-02-29,29.2944,29.798,29.2944,29.5462,26560.0
1996-03-01,29.7141,29.7141,29.4623,29.4623,8160.0
1996-03-02,29.7141,29.7141,29.4623,29.4623,8160.0
1996-03-03,29.7141,29.7141,29.4623,29.4623,8160.0
1996-03-04,29.5042,29.6301,29.3783,29.6301,2240.0
1996-03-05,29.3783,29.6301,29.3783,29.5462,11280.0
1996-03-06,29.6301,29.6301,29.6301,29.6301,3920.0
1996-03-07,29.6301,29.6301,29.5462,29.5462,6000.0
1996-03-08,29.3783,29.5462,29.3783,29.5462,5120.0
1996-03-09,29.3783,29.5462,29.3783,29.5462,5120.0
1996-03-10,29.3783,29.5462,29.3783,29.5462,5120.0
1996-03-11,29.2104,29.4623,29.2104,29.2944,14640.0
1996-03-12,29.4623,29.4623,29.2944,29.4623,1440.0
1996-03-13,29.6651,29.6651,29.6651,29.6651,1120.0
1996-03-14,29.5806,29.7496,29.5806,29.7496,13920.0
1996-03-15,29.7496,29.9187,29.4961,29.9187,30160.0
1996-03-16,29.7496,29.9187,29.4961,29.9187,30160.0
1996-03-17,29.7496,29.9187,29.4961,29.9187,30160.0
1996-03-18,29.9187,30.5103,29.9187,30.4258,62240.0
1996-03-19,30.5948,31.0174,30.4258,30.9751,65120.0
1996-03-20,31.0174,31.0174,30.7638,30.7638,12800.0
1996-03-21,30.7638,30.8483,30.5948,30.7638,33680.0
1996-03-22,30.8483,30.8483,30.6793,30.8483,2640.0
1996-03-23,30.8483,30.8483,30.6793,30.8483,2640.0
1996-03-24,30.8483,30.8483,30.6793,30.8483,2640.0
1996-03-25,30.9328,30.9328,30.9328,30.9328,1920.0
1996-03-26,30.7638,30.9328,30.6793,30.6793,9520.0
1996-03-27,30.6793,30.9328,30.6793,30.9328,21600.0
1996-03-28,30.9328,31.0174,30.7638,31.0174,11680.0
1996-03-29,31.0174,31.5245,31.0174,31.2709,54560.0
1996-03-30,31.0174,31.5245,31.0174,31.2709,54560.0
1996-03-31,31.0174,31.5245,31.0174,31.2709,54560.0
1996-04-01,31.609,31.609,31.2709,31.609,1680.0
1996-04-02,31.609,31.609,31.2709,31.609,9600.0
1996-04-03,31.609,31.609,31.4399,31.609,13520.0
1996-04-04,31.609,31.947,31.609,31.8625,30560.0
1996-04-05,31.609,31.947,31.609,31.8625,30560.0
1996-04-06,31.609,31.947,31.609,31.8625,30560.0
1996-04-07,31.609,31.947,31.609,31.8625,30560.0
1996-04-08,31.947,31.947,31.1019,31.1864,41600.0
1996-04-09,31.2709,31.4399,31.1864,31.4399,29280.0
1996-04-10,31.2709,31.4399,31.0174,31.1019,42560.0
1996-04-11,31.1019,31.1019,30.0032,30.0877,140320.0
1996-04-12,30.2567,30.2567,30.0877,30.2567,53760.0
1996-04-13,30.2567,30.2567,30.0877,30.2567,53760.0
1996-04-14,30.2567,30.2567,30.0877,30.2567,53760.0
1996-04-15,30.2567,30.3412,30.0877,30.3412,7920.0
1996-04-16,30.3412,30.3412,30.0877,30.3412,10880.0
1996-04-17,30.3412,30.3412,29.8341,30.0032,24000.0
1996-04-18,29.7496,30.0032,29.7496,30.0032,26800.0
1996-04-19,29.9187,30.0877,29.7496,29.7496,37280.0
1996-04-20,29.9187,30.0877,29.7496,29.7496,37280.0
1996-04-21,29.9187,30.0877,29.7496,29.7496,37280.0
1996-04-22,29.7496,29.9187,29.5806,29.5806,41920.0
1996-04-23,29.5806,29.8341,29.5806,29.5806,4400.0
1996-04-24,29.6651,29.6651,29.4961,29.6651,3840.0
1996-04-25,29.4961,29.6651,29.4961,29.6651,3280.0
